group,counter,n_runs,majority_label,majority_label_count,label_consistency,ratio_mean,ratio_std,ratio_cv,corr_mean,corr_std,total_all_mean,total_all_std,total_w128_mean,total_w128_std,total_w256_mean,total_w256_std,total_w512_mean,total_w512_std,total_w1024_mean,total_w1024_std,total_w2048_mean,total_w2048_std,stable_strong_scaling,near_16x_scaling
HLSQ,HLSQ_STPROC_WAVE_CONTEXTS_FS,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,2025.0,0.0,405.0,0.0,405.0,0.0,405.0,0.0,405.0,0.0,405.0,0.0,False,False
HLSQ,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_FS,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,2025.0,0.0,405.0,0.0,405.0,0.0,405.0,0.0,405.0,0.0,405.0,0.0,False,False
HLSQ,HLSQ_FS_DEREF_CYCLES,2,flat_or_saturated,2,1.0,0.8271737510016213,0.1654644098923798,0.20003585666496262,-0.42979575051171437,0.015278116175047879,1995.0,41.012193308819754,466.5,77.07463914933368,382.0,41.012193308819754,380.0,12.727922061357855,387.0,5.656854249492381,379.5,13.435028842544403,False,False
CP,CP_SQE_MRB_STARVE,2,flat_or_saturated,2,1.0,0.0,0.0,,-0.4766031238193983,5.551115123125783e-17,1868.5,248.19448019647817,1868.5,248.19448019647817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
UCHE,UCHE_WRITE_REQUESTS_VSC,1,active_mixed,1,1.0,,0.0,,0.649338888717511,0.0,1849.0,0.0,0.0,0.0,0.0,0.0,669.0,0.0,590.0,0.0,590.0,0.0,False,False
HLSQ,HLSQ_VSBR_STALL_CYCLES,2,flat_or_saturated,2,1.0,1.1474033957547984,0.33933825736855056,0.29574451202083385,0.44332241248308646,0.6723333225300058,1580.5,194.45436482630058,321.0,96.16652224137046,315.5,48.79036790187178,281.0,0.0,311.0,48.08326112068523,352.0,1.4142135623730951,False,False
CP,CP_SQE_PM4_STARVE_IB2,2,flat_or_saturated,2,1.0,0.0,0.0,,-0.4766031238193982,5.551115123125783e-17,1456.0,436.9919907732864,1456.0,436.9919907732864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
HLSQ,HLSQ_DUAL_FS_PROG_ACTIVE,1,flat_or_saturated,1,1.0,0.0,0.0,,-0.47660312381939823,0.0,1080.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
CP,CP_PM4_HEADERS,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.014967108502231255,0.021166687833365103,917.0,16.97056274847714,185.0,5.656854249492381,185.0,5.656854249492381,181.0,0.0,181.0,0.0,185.0,5.656854249492381,False,False
CP,CP_PM4_DATA,2,flat_or_saturated,2,1.0,0.8813800720846413,0.002260834377703776,0.0025651072100557567,-0.4432776398682443,0.04712935137636868,834.5,10.606601717798213,185.5,3.5355339059327378,163.5,3.5355339059327378,161.0,0.0,161.0,0.0,163.5,3.5355339059327378,False,False
HLSQ,HLSQ_L2STC_REQ_SP,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,720.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,False,False
HLSQ,HLSQ_L2STC_REQ_SP_HIT,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,690.0,0.0,138.0,0.0,138.0,0.0,138.0,0.0,138.0,0.0,138.0,0.0,False,False
CP,CP_SQE_PM4_STARVE_IB1,2,flat_or_saturated,2,1.0,0.0,0.0,,-0.47660312381939807,5.551115123125783e-17,675.0,5.656854249492381,675.0,5.656854249492381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
HLSQ,HLSQ_VSBR_DEREF_CYCLES,2,flat_or_saturated,2,1.0,0.8092455525256461,0.00752925023468342,0.009304036594559854,-0.3770966379093972,0.1482967838134063,664.0,12.727922061357855,152.0,1.4142135623730951,137.0,19.79898987322333,115.0,11.313708498984761,137.0,19.79898987322333,123.0,0.0,False,False
CP,CP_SQE_CTXT_REG_BUNCH_EXEC,2,moderate_width_scaling,2,1.0,3.1166666666666667,1.1863680439907633,0.38065284833928237,0.7929798492930967,0.042873419812173935,651.0,213.54624791833734,90.0,0.0,0.0,0.0,0.0,0.0,280.5,106.77312395916867,280.5,106.77312395916867,False,False
CP,CP_VBIF_WRITE_BEATS,2,flat_or_saturated,2,1.0,0.2070524582451188,0.0012708294067902105,0.0061377170672648595,-0.4773824810120737,0.0028635969785099427,595.5,4.949747468305833,326.0,1.4142135623730951,68.5,2.1213203435596424,66.5,0.7071067811865476,67.0,0.0,67.5,0.7071067811865476,False,False
SP,SP_LB_WRITE_XFER_VPC,2,zero_all_widths,1,0.5,,0.0,,-0.20163978315436076,0.0,576.0,814.5870119269027,0.0,0.0,0.0,0.0,576.0,814.5870119269027,0.0,0.0,0.0,0.0,False,False
HLSQ,HLSQ_L2STC_REQ_UCHE,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,560.0,0.0,112.0,0.0,112.0,0.0,112.0,0.0,112.0,0.0,112.0,0.0,False,False
HLSQ,HLSQ_L2STC_REQ_HLSQ,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,400.0,0.0,80.0,0.0,80.0,0.0,80.0,0.0,80.0,0.0,80.0,0.0,False,False
UCHE,UCHE_VBIF_READ_BEATS_PC,1,active_mixed,1,1.0,,0.0,,0.3858617929817293,0.0,392.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,128.0,0.0,90.0,0.0,False,False
HLSQ,HLSQ_L2STC_REQ_INS_HLSQ,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,360.0,0.0,72.0,0.0,72.0,0.0,72.0,0.0,72.0,0.0,72.0,0.0,False,False
