elapsed_s,HLSQ_BV_INS_BUF_FULL_BLOCK_CPI,HLSQ_VS_DES_BUF_FULL_BLOCK_CPI,HLSQ_FS_DES_BUF_FULL_BLOCK_CPI,HLSQ_BV_DES_BUF_FULL_BLOCK_CPI,HLSQ_PRIMITIVE_COUNT,HLSQ_LPAC2BV_SWITCH_CNT
0.712417,0,0,0,0,0,0
0.714022,0,0,0,0,0,0
0.715583,0,0,0,0,0,0
0.717157,0,0,0,0,0,0
0.718717,0,0,0,0,0,0
0.720279,0,0,0,0,0,0
0.721841,0,0,0,0,0,0
0.723402,0,0,0,0,0,0
0.724962,0,0,0,0,0,0
0.726523,0,0,0,0,0,0
0.728088,0,0,0,0,0,0
0.729746,0,0,0,0,0,0
0.731345,0,0,0,0,0,0
0.732902,0,0,0,0,0,0
0.734461,0,0,0,0,0,0
0.736022,0,0,0,0,0,0
0.737584,0,0,0,0,0,0
0.739158,0,0,0,0,0,0
0.740717,0,0,0,0,0,0
0.742280,0,0,0,0,0,0
0.743842,0,0,0,0,0,0
0.745402,0,0,0,0,0,0
0.746836,0,0,0,0,0,0
0.748239,0,0,0,0,0,0
0.749777,0,0,0,0,0,0
0.751338,0,0,0,0,0,0
0.752898,0,0,0,0,0,0
0.754458,0,0,0,0,0,0
0.756019,0,0,0,0,0,0
0.757580,0,0,0,0,0,0
0.759141,0,0,0,0,0,0
0.760713,0,0,0,0,0,0
0.762319,0,0,0,0,0,0
0.763881,0,0,0,0,0,0
0.765440,0,0,0,0,0,0
0.767005,0,0,0,0,0,0
0.768565,0,0,0,0,0,0
0.770127,0,0,0,0,0,0
0.771701,0,0,0,0,0,0
0.773260,0,0,0,0,0,0
0.774909,0,0,0,0,0,0
0.776468,0,0,0,0,0,0
0.778073,0,0,0,0,0,0
0.779635,0,0,0,0,0,0
0.781193,0,0,0,0,0,0
0.782819,0,0,0,0,0,0
0.784379,0,0,0,0,0,0
0.785941,0,0,0,0,0,0
0.787502,0,0,0,0,0,0
0.789060,0,0,0,0,0,0
0.791947,0,0,0,0,0,0
0.793372,0,0,0,0,0,0
0.794784,0,0,0,0,0,0
0.796185,0,0,0,0,0,0
0.797585,0,0,0,0,0,0
0.798984,0,0,0,0,0,0
0.800509,0,0,0,0,0,0
0.802072,0,0,0,0,0,0
0.803646,0,0,0,0,0,0
0.805205,0,0,0,0,0,0
0.806837,0,0,0,0,0,0
0.808396,0,0,0,0,0,0
0.810002,0,0,0,0,0,0
0.811563,0,0,0,0,0,0
0.813123,0,0,0,0,0,0
0.814697,0,0,0,0,0,0
0.816258,0,0,0,0,0,0
0.817820,0,0,0,0,0,0
0.819381,0,0,0,0,0,0
0.820940,0,0,0,0,0,0
0.822500,0,0,0,0,0,0
0.824062,0,0,0,0,0,0
0.825636,0,0,0,0,0,0
0.827196,0,0,0,0,0,0
0.828752,0,0,0,0,0,0
0.830312,0,0,0,0,0,0
0.831871,0,0,0,0,0,0
0.833429,0,0,0,0,0,0
0.834992,0,0,0,0,0,0
0.836563,0,0,0,0,0,0
0.838123,0,0,0,0,0,0
0.839682,0,0,0,0,0,0
0.841240,0,0,0,0,0,0
0.842750,0,0,0,0,0,0
0.844280,0,0,0,0,0,0
0.845840,0,0,0,0,0,0
