elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.473523,0,0,0,0,0,0,0,0,0,0,0,0
0.474904,0,0,0,0,0,0,0,0,0,0,0,0
0.476286,0,0,0,0,0,0,0,0,0,0,0,0
0.477768,0,0,0,0,0,0,0,0,0,0,0,0
0.479152,0,0,0,0,0,0,0,0,0,0,0,0
0.480533,0,0,0,0,0,0,0,0,0,0,0,0
0.482051,0,0,0,0,0,0,0,0,0,0,0,0
0.483657,0,0,0,0,0,0,0,0,0,0,0,0
0.485253,0,0,0,0,0,0,0,0,0,0,0,0
0.486849,0,0,0,0,0,0,0,0,0,0,0,0
0.488456,0,0,0,0,0,0,0,0,0,0,0,0
0.490075,0,0,0,0,0,0,0,0,0,0,0,0
0.491668,0,0,0,0,0,0,0,0,0,0,0,0
0.493264,0,0,0,0,0,0,0,0,0,0,0,0
0.494859,0,0,0,0,0,0,0,0,0,0,0,0
0.496453,0,0,0,0,0,0,0,0,0,0,0,0
0.498100,0,0,0,0,0,0,0,0,0,0,0,0
0.499706,0,0,0,0,0,0,0,0,0,0,0,0
0.501303,0,0,0,0,0,0,0,0,0,0,0,0
0.502897,0,0,0,0,0,0,0,0,0,0,0,0
0.504490,0,0,0,0,0,0,0,0,0,0,0,0
0.506089,0,0,0,0,0,0,0,0,0,0,0,0
0.507682,0,0,0,0,0,0,0,0,0,0,0,0
0.509278,0,0,0,0,0,0,0,0,0,0,0,0
0.510877,0,0,0,0,0,0,0,0,0,0,0,0
0.512461,0,0,0,0,0,0,0,0,0,0,0,0
0.513921,0,0,0,0,0,0,0,0,0,0,0,0
