elapsed_s,RB_EARLY_Z_ARB3_GRANT,RB_LATE_Z_ARB3_GRANT,RB_EARLY_Z_SKIP_GRANT,RB_VRS_1X1_QUADS,RB_VRS_2X1_QUADS,RB_VRS_1X2_QUADS,RB_VRS_2X2_QUADS,RB_VRS_2X4_QUADS
0.835105,0,0,0,0,0,0,0,0
0.836678,0,0,0,0,0,0,0,0
0.838266,0,0,0,0,0,0,0,0
0.839841,0,0,0,0,0,0,0,0
0.841415,0,0,0,0,0,0,0,0
0.842988,0,0,0,0,0,0,0,0
0.844563,0,0,0,0,0,0,0,0
0.846137,0,0,0,0,0,0,0,0
0.847708,0,0,0,0,0,0,0,0
0.849300,0,0,0,0,0,0,0,0
0.850873,0,0,0,0,0,0,0,0
0.852448,0,0,0,0,0,0,0,0
0.854726,0,0,0,0,0,0,0,0
0.856210,0,0,0,0,0,0,0,0
0.857604,0,0,0,0,0,0,0,0
0.859020,0,0,0,0,0,0,0,0
0.860442,0,0,0,0,0,0,0,0
0.861854,0,0,0,0,0,0,0,0
0.863233,0,0,0,0,0,0,0,0
0.864775,0,0,0,0,0,0,0,0
0.866352,0,0,0,0,0,0,0,0
0.867931,0,0,0,0,0,0,0,0
0.869505,0,0,0,0,0,0,0,0
0.870963,0,0,0,0,0,0,0,0
0.872553,0,0,0,0,0,0,0,0
0.874130,0,0,0,0,0,0,0,0
0.875704,0,0,0,0,0,0,0,0
0.877285,0,0,0,0,0,0,0,0
0.878859,0,0,0,0,0,0,0,0
0.880436,0,0,0,0,0,0,0,0
0.882517,0,0,0,0,0,0,0,0
0.883925,0,0,0,0,0,0,0,0
0.885468,0,0,0,0,0,0,0,0
0.887043,0,0,0,0,0,0,0,0
0.888663,0,0,0,0,0,0,0,0
0.890239,0,0,0,0,0,0,0,0
0.891817,0,0,0,0,0,0,0,0
0.893408,0,0,0,0,0,0,0,0
0.894983,0,0,0,0,0,0,0,0
0.896561,0,0,0,0,0,0,0,0
0.898137,0,0,0,0,0,0,0,0
0.899711,0,0,0,0,0,0,0,0
0.901292,0,0,0,0,0,0,0,0
0.902866,0,0,0,0,0,0,0,0
0.904500,0,0,0,0,0,0,0,0
0.906077,0,0,0,0,0,0,0,0
0.907653,0,0,0,0,0,0,0,0
0.909233,0,0,0,0,0,0,0,0
0.910808,0,0,0,0,0,0,0,0
0.912387,0,0,0,0,0,0,0,0
0.913962,0,0,0,0,0,0,0,0
0.915548,0,0,0,0,0,0,0,0
0.917127,0,0,0,0,0,0,0,0
