elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.782332,0,0,0,0,0,0,0,0
0.783721,0,0,0,0,0,0,0,0
0.785164,0,0,0,0,0,0,0,0
0.786605,0,0,0,0,0,0,0,0
0.788079,0,0,0,0,0,0,0,0
0.789520,0,0,0,0,0,0,0,0
0.790854,0,0,0,0,0,0,0,0
0.792356,0,0,0,0,0,0,0,0
0.793801,0,0,0,0,0,0,0,0
0.795160,0,0,0,0,0,0,0,0
0.796634,0,0,0,0,0,0,0,0
0.797966,0,0,0,0,0,0,0,0
0.799407,0,0,0,0,0,0,0,0
0.800889,0,0,0,0,0,0,0,0
0.802223,0,0,0,0,0,0,0,0
0.803675,0,0,0,0,0,0,0,0
0.805008,0,0,0,0,0,0,0,0
0.806450,0,0,0,0,0,0,0,0
0.807913,0,0,0,0,0,0,0,0
0.809356,0,0,0,0,0,0,0,0
0.810798,0,0,0,0,0,0,0,0
0.812166,0,0,0,0,0,0,0,0
0.813610,0,0,0,0,0,0,0,0
0.814988,0,0,0,0,0,0,0,0
0.816468,0,0,0,0,0,0,0,0
0.818930,0,0,0,0,0,0,0,0
0.820263,0,0,0,0,0,0,0,0
0.821720,0,0,0,0,0,0,0,0
0.823051,0,0,0,0,0,0,0,0
0.824605,0,0,0,0,0,0,0,0
0.825985,0,0,0,0,0,0,0,0
0.827377,0,0,0,0,0,0,0,0
0.829055,0,0,0,0,0,0,0,0
0.830498,0,0,0,0,0,0,0,0
0.832428,0,0,0,0,0,0,0,0
0.833798,0,0,0,0,0,0,0,0
0.835239,0,0,0,0,0,0,0,0
0.836687,0,0,0,0,0,0,0,0
0.838049,0,0,0,0,0,0,0,0
0.839419,0,0,0,0,0,0,0,0
0.840884,0,0,0,0,0,0,0,0
0.848533,0,0,0,0,0,0,0,0
0.849911,0,0,0,0,0,0,0,0
0.851386,0,0,0,0,0,0,0,0
0.852830,0,0,0,0,0,0,0,0
0.854198,0,0,0,0,0,0,0,0
0.855672,0,0,0,0,0,0,0,0
0.857116,0,0,0,0,0,0,0,0
0.858565,0,0,0,0,0,0,0,0
0.860031,0,0,0,0,0,0,0,0
0.861473,0,0,0,0,0,0,0,0
0.862914,0,0,0,0,0,0,0,0
0.864391,0,0,0,0,0,0,0,0
0.865797,0,0,0,0,0,0,0,0
0.867165,0,0,0,0,0,0,0,0
0.868531,0,0,0,0,0,0,0,0
0.869931,0,0,0,0,0,0,0,0
0.871402,0,0,0,0,0,0,0,0
0.872873,0,0,0,0,0,0,0,0
0.874329,0,0,0,0,0,0,0,0
0.875769,0,0,0,0,0,0,0,0
0.877130,0,0,0,0,0,0,0,0
0.878575,0,0,0,0,0,0,0,0
0.879958,0,0,0,0,0,0,0,0
0.881400,0,0,0,0,0,0,0,0
0.882842,0,0,0,0,0,0,0,0
0.884283,0,0,0,0,0,0,0,0
0.885748,0,0,0,0,0,0,0,0
0.887115,0,0,0,0,0,0,0,0
0.888486,0,0,0,0,0,0,0,0
0.889954,0,0,0,0,0,0,0,0
0.891288,0,0,0,0,0,0,0,0
0.892739,0,0,0,0,0,0,0,0
0.894181,0,0,0,0,0,0,0,0
0.895622,0,0,0,0,0,0,0,0
0.897003,0,0,0,0,0,0,0,0
0.898446,0,0,0,0,0,0,0,0
0.899778,0,0,0,0,0,0,0,0
0.901257,0,0,0,0,0,0,0,0
0.902701,0,0,0,0,0,0,0,0
0.904173,0,0,0,0,0,0,0,0
0.905664,0,0,0,0,0,0,0,0
0.907134,0,0,0,0,0,0,0,0
0.908599,0,0,0,0,0,0,0,0
0.910080,0,0,0,0,0,0,0,0
