elapsed_s,HLSQ_BV_SP_CCTX_ACTIVE_CNT,HLSQ_VS_SP_SCTX_ACTIVE_CNT,HLSQ_FS_SP_SCTX_ACTIVE_CNT,HLSQ_BV_SP_SCTX_ACTIVE_CNT,HLSQ_VS_SP_CTX_ALIVE_CYCLE,HLSQ_FS_SP_CTX_ALIVE_CYCLE
0.619195,0,0,0,0,0,0
0.620596,0,0,0,0,0,0
0.622038,0,0,0,0,0,0
0.623400,0,0,0,0,0,0
0.624929,0,0,0,0,0,0
0.626492,0,0,0,0,0,0
0.628065,0,0,0,0,0,0
0.629688,0,0,0,0,0,0
0.631247,0,0,0,0,0,0
0.632809,0,0,0,0,0,0
0.634370,0,0,0,0,0,0
0.635928,0,0,0,0,0,0
0.637533,0,0,0,0,0,0
0.639108,0,0,0,0,0,0
0.640670,0,0,0,0,0,0
0.642231,0,0,0,0,0,0
0.643789,0,0,0,0,0,0
0.645393,0,0,0,0,0,0
0.646955,0,0,0,0,0,0
0.648517,0,0,0,0,0,0
0.650092,0,0,0,0,0,0
0.651649,0,0,0,0,0,0
0.653254,0,0,0,0,0,0
0.654817,0,0,0,0,0,0
0.656376,0,0,0,0,0,0
0.657962,0,0,0,0,0,0
0.659365,0,0,0,0,0,0
0.660946,0,0,0,0,0,0
0.662506,0,0,0,0,0,0
0.664064,0,0,0,0,0,0
0.665686,0,0,0,0,0,0
0.667242,0,0,0,0,0,0
0.668693,0,0,0,0,0,0
0.670171,0,0,0,0,0,0
0.671585,0,0,0,0,0,0
0.672988,0,0,0,0,0,0
0.674386,0,0,0,0,0,0
0.675782,0,0,0,0,0,0
0.677216,0,0,0,0,0,0
0.678817,0,0,0,0,0,0
0.680376,0,0,0,0,0,0
0.681967,0,0,0,0,0,0
0.683526,0,0,0,0,0,0
0.685131,0,0,0,0,0,0
0.686691,0,0,0,0,0,0
0.688250,0,0,0,0,0,0
0.689815,0,0,0,0,0,0
0.691373,0,0,0,0,0,0
0.692992,0,0,0,0,0,0
0.694553,0,0,0,0,0,0
0.696112,0,0,0,0,0,0
0.697676,0,0,0,0,0,0
0.699234,0,0,0,0,0,0
0.700794,0,0,0,0,0,0
0.702354,0,0,0,0,0,0
0.703925,0,0,0,0,0,0
0.705486,0,0,0,0,0,0
0.707036,0,0,0,0,0,0
0.708690,0,0,0,0,0,0
0.710289,0,0,0,0,0,0
0.711846,0,0,0,0,0,0
0.713405,0,0,0,0,0,0
0.714977,0,0,0,0,0,0
0.716538,0,0,0,0,0,0
0.718141,0,0,0,0,0,0
0.719697,0,0,0,0,0,0
0.721257,0,0,0,0,0,0
0.722712,0,0,0,0,0,0
0.724173,0,0,0,0,0,0
0.725626,0,0,0,0,0,0
0.727155,0,0,0,0,0,0
0.728553,0,0,0,0,0,0
0.729949,0,0,0,0,0,0
0.731345,0,0,0,0,0,0
0.732915,0,0,0,0,0,0
0.734475,0,0,0,0,0,0
0.736045,0,0,0,0,0,0
0.737569,0,0,0,0,0,0
0.739124,0,0,0,0,0,0
0.740684,0,0,0,0,0,0
0.742288,0,0,0,0,0,0
0.743845,0,0,0,0,0,0
0.745403,0,0,0,0,0,0
0.746978,0,0,0,0,0,0
0.748647,0,0,0,0,0,0
0.750125,0,0,0,0,0,0
0.751527,0,0,0,0,0,0
0.752928,0,0,0,0,0,0
0.754324,0,0,0,0,0,0
