elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.164572,0,0,0,0
0.166057,0,0,0,0
0.167579,0,0,0,0
0.169127,0,0,0,0
0.170681,0,0,0,0
0.172229,0,0,0,0
0.173824,0,0,0,0
0.175374,0,0,0,0
0.176936,0,0,0,0
0.178485,0,0,0,0
0.180036,0,0,0,0
0.181588,0,0,0,0
0.183183,0,0,0,0
0.184732,0,0,0,0
0.186281,0,0,0,0
0.187846,0,0,0,0
0.189397,0,0,0,0
0.190947,0,0,0,0
0.192495,0,0,0,0
0.194045,0,0,0,0
0.195596,0,0,0,0
0.197145,0,0,0,0
0.198711,0,0,0,0
0.200256,0,0,0,0
0.201805,0,0,0,0
0.203354,0,0,0,0
0.204901,0,0,0,0
0.206494,0,0,0,0
0.208043,0,0,0,0
0.209606,0,0,0,0
0.211154,0,0,0,0
0.212701,0,0,0,0
0.214294,0,0,0,0
0.215846,0,0,0,0
0.217397,0,0,0,0
0.218947,0,0,0,0
0.220508,0,0,0,0
0.222104,0,0,0,0
0.223654,0,0,0,0
0.225202,0,0,0,0
0.226765,0,0,0,0
0.228213,0,0,0,0
0.229611,0,0,0,0
0.231185,0,0,0,0
0.232735,0,0,0,0
0.234287,0,0,0,0
0.235837,0,0,0,0
0.237390,0,0,0,0
0.238941,0,0,0,0
0.240490,0,0,0,0
0.242055,0,0,0,0
0.243605,0,0,0,0
0.245155,0,0,0,0
0.246711,0,0,0,0
0.248261,0,0,0,0
0.249813,0,0,0,0
0.251365,0,0,0,0
0.252928,0,0,0,0
0.254524,0,0,0,0
0.256076,0,0,0,0
0.257629,0,0,0,0
0.259179,0,0,0,0
0.260728,0,0,0,0
0.262322,0,0,0,0
0.263887,0,0,0,0
0.265437,0,0,0,0
0.266985,0,0,0,0
0.268535,0,0,0,0
0.270129,0,0,0,0
0.271678,0,0,0,0
0.273225,0,0,0,0
0.274792,0,0,0,0
0.276341,0,0,0,0
0.277934,0,0,0,0
0.279483,0,0,0,0
0.281031,0,0,0,0
0.282559,0,0,0,0
0.283954,0,0,0,0
0.285354,0,0,0,0
0.286783,0,0,0,0
0.288169,0,0,0,0
0.289556,0,0,0,0
0.290940,0,0,0,0
0.292453,0,0,0,0
0.294045,0,0,0,0
0.295609,0,0,0,0
0.297156,0,0,0,0
0.298709,0,0,0,0
0.300257,0,0,0,0
0.301850,0,0,0,0
0.303399,0,0,0,0
0.304946,0,0,0,0
0.306380,0,0,0,0
0.307777,0,0,0,0
0.309297,0,0,0,0
0.310916,0,0,0,0
0.312463,0,0,0,0
0.314013,0,0,0,0
0.315562,0,0,0,0
0.317123,0,0,0,0
0.318677,0,0,0,0
0.320225,0,0,0,0
0.321776,0,0,0,0
0.323326,0,0,0,0
0.324873,0,0,0,0
0.326465,0,0,0,0
0.328028,0,0,0,0
0.329578,0,0,0,0
0.331127,0,0,0,0
0.332673,0,0,0,0
0.334266,0,0,0,0
0.335816,0,0,0,0
0.337365,0,0,0,0
0.338991,0,0,0,0
0.340541,0,0,0,0
0.342006,0,0,0,0
0.343529,0,0,0,0
0.345076,0,0,0,0
0.346629,0,0,0,0
0.348176,0,0,0,0
0.349740,0,0,0,0
0.351290,0,0,0,0
0.352836,0,0,0,0
0.354386,0,0,0,0
0.355934,0,0,0,0
0.357484,0,0,0,0
0.359078,0,0,0,0
0.360639,0,0,0,0
0.362191,0,0,0,0
0.363740,0,0,0,0
0.365332,0,0,0,0
0.367067,0,0,0,0
0.368615,0,0,0,0
0.370166,0,0,0,0
0.371728,0,0,0,0
0.373275,0,0,0,0
0.374829,0,0,0,0
0.376377,0,0,0,0
0.377928,0,0,0,0
0.379477,0,0,0,0
0.381025,0,0,0,0
0.382526,0,0,0,0
0.384044,0,0,0,0
0.385594,0,0,0,0
0.387143,0,0,0,0
0.388691,0,0,0,0
0.390283,0,0,0,0
0.391833,0,0,0,0
0.393397,0,0,0,0
0.394947,0,0,0,0
0.396495,0,0,0,0
0.398087,0,0,0,0
0.399544,0,0,0,0
0.400936,0,0,0,0
0.402451,0,0,0,0
0.404016,0,0,0,0
0.405569,0,0,0,0
0.407166,0,0,0,0
0.408716,0,0,0,0
