elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.045823,0,0,0,0,0,0,0,0,0,0,0,0
0.047520,0,0,0,0,0,0,0,0,0,0,0,0
0.049217,0,0,0,0,0,0,0,0,0,0,0,0
0.050912,0,0,0,0,0,0,0,0,0,0,0,0
0.052610,0,0,0,0,0,0,0,0,0,0,0,0
0.054329,0,0,0,0,0,0,0,0,0,0,0,0
0.055937,0,0,0,0,0,0,0,0,0,0,0,0
0.057648,0,0,0,0,0,0,0,0,0,0,0,0
0.059342,0,0,0,0,0,0,0,0,0,0,0,0
0.061088,0,0,0,0,0,0,0,0,0,0,0,0
0.062757,0,0,0,0,0,0,0,0,0,0,0,0
0.064279,0,0,0,0,0,0,0,0,0,0,0,0
0.065803,0,0,0,0,0,0,0,0,0,0,0,0
0.067320,0,0,0,0,0,0,0,0,0,0,0,0
0.068876,0,0,0,0,0,0,0,0,0,0,0,0
0.070394,0,0,0,0,0,0,0,0,0,0,0,0
0.071802,0,0,0,0,0,0,0,0,0,0,0,0
0.073307,0,0,0,0,0,0,0,0,0,0,0,0
0.074901,0,0,0,0,0,0,0,0,0,0,0,0
0.076396,0,0,0,0,0,0,0,0,0,0,0,0
0.077929,0,0,0,0,0,0,0,0,0,0,0,0
0.079398,0,0,0,0,0,0,0,0,0,0,0,0
0.080805,0,0,0,0,0,0,0,0,0,0,0,0
0.082205,0,0,0,0,0,0,0,0,0,0,0,0
0.083656,0,0,0,0,0,0,0,0,0,0,0,0
0.085076,0,0,0,0,0,0,0,0,0,0,0,0
0.086482,0,0,0,0,0,0,0,0,0,0,0,0
0.087882,0,0,0,0,0,0,0,0,0,0,0,0
0.089296,0,0,0,0,0,0,0,0,0,0,0,0
0.090821,0,0,0,0,0,0,0,0,0,0,0,0
0.092283,0,0,0,0,0,0,0,0,0,0,0,0
0.093698,0,0,0,0,0,0,0,0,0,0,0,0
0.095151,0,0,0,0,0,0,0,0,0,0,0,0
0.096630,0,0,0,0,0,0,0,0,0,0,0,0
0.098099,0,0,0,0,0,0,0,0,0,0,0,0
0.099659,0,0,0,0,0,0,0,0,0,0,0,0
0.101127,0,0,0,0,0,0,0,0,0,0,0,0
0.102651,0,0,0,0,0,0,0,0,0,0,0,0
0.104196,0,0,32768,0,0,0,45056,0,0,6144,0,0
0.105872,0,0,32768,0,0,0,20480,0,0,2048,0,0
0.107316,0,0,0,0,0,0,0,0,0,0,0,0
0.108722,0,0,0,0,0,0,0,0,0,0,0,0
0.110113,0,0,0,0,0,0,0,0,0,0,0,0
0.111568,0,0,0,0,0,0,0,0,0,0,0,0
0.112919,0,0,0,0,0,0,0,0,0,0,0,0
0.114271,0,0,0,0,0,0,0,0,0,0,0,0
0.115685,0,0,0,0,0,0,0,0,0,0,0,0
0.117035,0,0,0,0,0,0,0,0,0,0,0,0
0.118394,0,0,0,0,0,0,0,0,0,0,0,0
0.119753,0,0,0,0,0,0,0,0,0,0,0,0
0.121101,0,0,0,0,0,0,0,0,0,0,0,0
0.122449,0,0,0,0,0,0,0,0,0,0,0,0
0.123802,0,0,0,0,0,0,0,0,0,0,0,0
0.125159,0,0,0,0,0,0,0,0,0,0,0,0
0.126539,0,0,0,0,0,0,0,0,0,0,0,0
0.127936,0,0,0,0,0,0,0,0,0,0,0,0
0.129326,0,0,0,0,0,0,0,0,0,0,0,0
0.130705,0,0,0,0,0,0,0,0,0,0,0,0
0.132084,0,0,0,0,0,0,0,0,0,0,0,0
0.133471,0,0,0,0,0,0,0,0,0,0,0,0
0.134855,0,0,0,0,0,0,0,0,0,0,0,0
0.136232,0,0,0,0,0,0,0,0,0,0,0,0
0.137613,0,0,0,0,0,0,0,0,0,0,0,0
0.138994,0,0,0,0,0,0,0,0,0,0,0,0
0.140426,0,0,0,0,0,0,0,0,0,0,0,0
0.141854,0,0,0,0,0,0,0,0,0,0,0,0
0.143336,0,0,0,0,0,0,0,0,0,0,0,0
0.144795,0,0,0,0,0,0,0,0,0,0,0,0
0.146182,0,0,0,0,0,0,0,0,0,0,0,0
0.147565,0,0,0,0,0,0,0,0,0,0,0,0
0.148947,0,0,0,0,0,0,0,0,0,0,0,0
0.150327,0,0,0,0,0,0,0,0,0,0,0,0
0.151783,0,0,0,0,0,0,0,0,0,0,0,0
0.153163,0,0,0,0,0,0,0,0,0,0,0,0
