elapsed_s,RAS_SLICE_BLOCK_EMPTY,RAS_SAMPLE_MASK_GEN_LANE_0_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_1_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_2_WORKING_CC_L2
0.455346,0,0,0,0
0.456894,0,0,0,0
0.458448,0,0,0,0
0.460009,0,0,0,0
0.461560,0,0,0,0
0.463109,0,0,0,0
0.464656,0,0,0,0
0.466296,0,0,0,0
0.467843,0,0,0,0
0.469394,0,0,0,0
0.470956,0,0,0,0
0.472503,0,0,0,0
0.474050,0,0,0,0
0.475597,0,0,0,0
0.477027,0,0,0,0
0.478553,0,0,0,0
0.480102,0,0,0,0
0.481711,0,0,0,0
0.483261,0,0,0,0
0.484809,0,0,0,0
0.486364,0,0,0,0
0.487912,0,0,0,0
0.489463,0,0,0,0
0.491014,0,0,0,0
0.492576,0,0,0,0
0.494126,0,0,0,0
0.495678,0,0,0,0
0.497229,0,0,0,0
0.498825,0,0,0,0
0.500375,0,0,0,0
0.501926,0,0,0,0
0.503490,0,0,0,0
0.505042,0,0,0,0
0.506591,0,0,0,0
0.508140,0,0,0,0
0.509691,0,0,0,0
0.511233,0,0,0,0
0.512773,0,0,0,0
0.514242,0,0,0,0
0.515828,0,0,0,0
0.517379,0,0,0,0
0.518927,0,0,0,0
0.520474,0,0,0,0
0.522022,0,0,0,0
0.523571,0,0,0,0
0.525135,0,0,0,0
0.526684,0,0,0,0
0.528231,0,0,0,0
0.529824,0,0,0,0
0.531373,0,0,0,0
0.532919,0,0,0,0
0.534515,0,0,0,0
0.536074,0,0,0,0
0.537624,0,0,0,0
0.539174,0,0,0,0
0.540722,0,0,0,0
0.542275,0,0,0,0
0.543822,0,0,0,0
0.545416,0,0,0,0
0.546979,0,0,0,0
0.548526,0,0,0,0
0.550073,0,0,0,0
0.551623,0,0,0,0
0.553173,0,0,0,0
0.554721,0,0,0,0
