elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
0.692027,0,0,0
0.693394,0,0,0
0.694775,0,0,0
0.696341,0,0,0
0.697887,0,0,0
0.699319,0,0,0
0.700833,0,0,0
0.702376,0,0,0
0.703922,0,0,0
0.705467,0,0,0
0.707011,0,0,0
0.708553,0,0,0
0.710111,0,0,0
0.711654,0,0,0
0.713197,0,0,0
0.714783,0,0,0
0.716325,0,0,0
0.717872,0,0,0
0.719459,0,0,0
0.721015,0,0,0
0.722564,0,0,0
0.724106,0,0,0
0.725652,0,0,0
0.727196,0,0,0
0.728739,0,0,0
0.730282,0,0,0
0.731839,0,0,0
0.733395,0,0,0
0.734910,0,0,0
0.736295,0,0,0
0.737834,0,0,0
0.739362,0,0,0
0.740757,0,0,0
0.742283,0,0,0
0.743819,0,0,0
0.745446,0,0,0
0.746982,0,0,0
0.748517,0,0,0
0.749930,0,0,0
0.751487,0,0,0
0.752919,0,0,0
0.754485,0,0,0
0.756030,0,0,0
0.757575,0,0,0
0.759118,0,0,0
0.760661,0,0,0
0.762205,0,0,0
0.763762,0,0,0
0.765308,0,0,0
0.766892,0,0,0
0.768434,0,0,0
0.770696,0,0,0
0.772081,0,0,0
0.773535,0,0,0
0.774997,0,0,0
0.776370,0,0,0
0.777742,0,0,0
0.779118,0,0,0
0.780491,0,0,0
0.781863,0,0,0
0.783290,0,0,0
0.784640,0,0,0
0.785998,0,0,0
0.787348,0,0,0
0.788696,0,0,0
0.790045,0,0,0
0.791394,0,0,0
0.792742,0,0,0
0.794091,0,0,0
0.795465,0,0,0
0.796820,0,0,0
0.798169,0,0,0
0.799553,0,0,0
0.800888,0,0,0
0.802221,0,0,0
0.803556,0,0,0
0.804890,0,0,0
0.806227,0,0,0
0.807568,0,0,0
0.808903,0,0,0
0.810243,0,0,0
0.811619,0,0,0
0.812955,0,0,0
0.814363,0,0,0
0.815727,0,0,0
0.817134,0,0,0
0.818450,0,0,0
0.819811,0,0,0
0.821169,0,0,0
0.822529,0,0,0
0.823778,0,0,0
0.825136,0,0,0
0.826492,0,0,0
0.827853,0,0,0
0.829164,0,0,0
0.830438,0,0,0
0.831812,0,0,0
0.833169,0,0,0
0.834473,0,0,0
0.835830,0,0,0
0.837239,0,0,0
0.838596,0,0,0
0.840006,180,684,0
0.841420,0,0,0
0.842777,0,0,0
0.844134,0,0,0
0.845491,0,0,0
0.846862,0,0,0
0.848219,0,0,0
0.850549,0,0,0
0.851952,0,0,0
0.853436,867,1776,0
0.854807,1913,2598,0
0.856192,0,0,0
0.857604,0,0,0
0.859028,0,0,0
0.860408,0,0,0
0.861789,0,0,0
0.863228,0,0,0
0.864609,0,0,0
0.866577,0,0,0
0.867956,0,0,0
0.869505,0,0,0
0.871207,0,0,0
0.872581,0,0,0
0.873964,0,0,0
0.875335,0,0,0
0.876706,0,0,0
0.878076,0,0,0
0.879452,0,0,0
0.880825,0,0,0
0.882198,0,0,0
0.883571,0,0,0
0.884955,0,0,0
0.886556,0,0,0
0.887931,0,0,0
0.889332,0,0,0
0.890708,0,0,0
0.892083,0,0,0
0.893461,0,0,0
0.894885,0,0,0
0.896403,0,0,0
0.897952,0,0,0
0.899499,0,0,0
0.901044,0,0,0
0.902594,0,0,0
0.904139,0,0,0
0.905687,0,0,0
0.907247,0,0,0
0.908792,0,0,0
0.910340,0,0,0
0.911888,0,0,0
0.913436,0,0,0
0.914983,0,0,0
0.916528,0,0,0
0.917967,0,0,0
0.919486,0,0,0
0.921031,0,0,0
0.922582,0,0,0
0.924127,0,0,0
0.925673,0,0,0
0.927264,0,0,0
0.928823,0,0,0
0.930370,0,0,0
0.931917,0,0,0
0.933465,0,0,0
0.935013,0,0,0
0.936558,0,0,0
0.938106,0,0,0
0.939655,0,0,0
0.941191,0,0,0
0.942807,0,0,0
0.944192,0,0,0
0.945706,0,0,0
0.947251,0,0,0
0.948794,0,0,0
0.950225,0,0,0
0.951740,0,0,0
0.953286,0,0,0
0.954831,0,0,0
0.956375,0,0,0
0.957922,0,0,0
0.959510,0,0,0
0.961066,0,0,0
0.962631,0,0,0
0.964174,0,0,0
0.965720,0,0,0
0.967266,0,0,0
0.968809,0,0,0
0.970355,0,0,0
0.971911,0,0,0
0.973458,0,0,0
0.975048,0,0,0
0.976590,0,0,0
0.978135,0,0,0
0.979680,0,0,0
0.981308,0,0,0
0.982832,0,0,0
0.984217,0,0,0
0.985729,0,0,0
0.987280,0,0,0
