elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
1.224338,0,0,0,0
1.225870,0,0,0,0
1.227420,0,0,0,0
1.228974,0,0,0,0
1.230567,0,0,0,0
1.232120,0,0,0,0
1.233671,0,0,0,0
1.235221,0,0,0,0
1.236786,0,0,0,0
1.238340,0,0,0,0
1.239892,0,0,0,0
1.241443,0,0,0,0
1.242992,0,0,0,0
1.244544,0,0,0,0
1.246097,0,0,0,0
1.247533,0,0,0,0
1.249149,0,0,0,0
1.250698,0,0,0,0
1.252251,0,0,0,0
1.253802,0,0,0,0
1.255351,0,0,0,0
1.259177,0,0,0,0
1.260633,0,0,0,0
1.262032,0,0,0,0
1.263541,0,0,0,0
1.264965,0,0,0,0
1.266357,0,0,0,0
1.267747,0,0,0,0
1.269133,0,0,0,0
1.270519,0,0,0,0
1.271917,0,0,0,0
1.273303,0,0,0,0
1.274688,0,0,0,0
1.276074,0,0,0,0
1.277501,0,0,0,0
1.278886,0,0,0,0
1.280272,0,0,0,0
1.281787,0,0,0,0
1.283350,0,0,0,0
1.284963,0,0,0,0
1.286516,0,0,0,0
1.288070,0,0,0,0
1.289623,0,0,0,0
1.291172,0,0,0,0
1.292723,0,0,0,0
1.294288,0,0,0,0
1.295842,0,0,0,0
1.297393,0,0,0,0
1.298943,0,0,0,0
1.300497,0,0,0,0
1.302049,0,0,0,0
1.303599,0,0,0,0
1.305044,0,0,0,0
1.306570,0,0,0,0
1.308123,0,0,0,0
1.309717,0,0,0,0
1.311266,0,0,0,0
1.312816,0,0,0,0
1.314366,0,0,0,0
1.315931,0,0,0,0
1.317482,0,0,0,0
1.319031,0,0,0,0
1.320581,0,0,0,0
1.322004,0,0,0,0
1.323525,0,0,0,0
1.324909,0,0,0,0
1.326350,0,0,0,0
1.327872,0,0,0,0
1.329426,0,0,0,0
1.330978,0,0,0,0
1.332533,0,0,0,0
1.334076,0,0,0,0
1.335618,0,0,0,0
1.337385,0,0,0,0
1.338823,0,0,0,0
1.340213,0,0,0,0
1.341645,0,0,0,0
1.343030,0,0,0,0
1.344460,0,0,0,0
1.346726,0,0,0,0
1.348261,0,0,0,0
1.349808,0,0,0,0
1.351358,0,0,0,0
1.352969,0,0,0,0
1.354518,0,0,0,0
1.356070,0,0,0,0
1.357665,0,0,0,0
1.359227,0,0,0,0
1.360778,0,0,0,0
1.362329,0,0,0,0
1.363882,0,0,0,0
1.365434,0,0,0,0
1.366983,0,0,0,0
1.368535,0,0,0,0
1.370099,0,0,0,0
1.371649,0,0,0,0
1.373065,0,0,0,0
1.374498,0,0,0,0
1.376016,0,0,0,0
1.377567,0,0,0,0
1.379115,0,0,0,0
1.380678,0,0,0,0
1.382229,0,0,0,0
1.383783,0,0,0,0
1.385333,0,0,0,0
1.386883,0,0,0,0
1.388435,0,0,0,0
1.390030,0,0,0,0
1.391592,0,0,0,0
