elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.455196,0,0,0,0
0.456586,0,0,0,0
0.457964,0,0,0,0
0.459390,0,0,0,0
0.460770,0,0,0,0
0.462264,0,0,0,0
0.463685,0,0,0,0
0.465076,0,0,0,0
0.466532,0,0,0,0
0.467917,0,0,0,0
0.469303,0,0,0,0
0.470688,0,0,0,0
0.472073,0,0,0,0
0.473536,0,0,0,0
0.474959,0,0,0,0
0.476467,0,0,0,0
0.477858,0,0,0,0
0.479238,0,0,0,0
0.480618,0,0,0,0
0.485062,0,0,0,0
0.486448,0,0,0,0
0.487831,0,0,0,0
0.489349,0,0,0,0
0.490896,0,0,0,0
0.492276,0,0,0,0
0.493658,0,0,0,0
0.495043,0,0,0,0
0.496422,0,0,0,0
0.497803,0,0,0,0
0.499185,0,0,0,0
0.500584,0,0,0,0
0.501963,0,0,0,0
0.503349,0,0,0,0
0.504733,0,0,0,0
0.506241,0,0,0,0
0.507627,0,0,0,0
0.509015,0,0,0,0
0.510400,0,0,0,0
0.511800,0,0,0,0
0.513186,0,0,0,0
0.514571,0,0,0,0
0.515954,0,0,0,0
0.517471,0,0,0,0
0.519021,0,0,0,0
0.520570,0,0,0,0
0.522134,0,0,0,0
0.523686,0,0,0,0
0.525239,0,0,0,0
0.526790,0,0,0,0
0.528340,0,0,0,0
0.529891,0,0,0,0
0.531443,0,0,0,0
0.533091,0,0,0,0
0.534619,0,0,0,0
0.536009,0,0,0,0
0.537527,0,0,0,0
0.539121,0,0,0,0
0.540671,0,0,0,0
0.542274,0,0,0,0
0.543710,0,0,0,0
0.545234,0,0,0,0
0.546786,0,0,0,0
0.548335,0,0,0,0
0.549885,0,0,0,0
0.551436,0,0,0,0
0.552985,0,0,0,0
0.554610,0,0,0,0
0.556131,0,0,0,0
0.557684,0,0,0,0
0.559235,0,0,0,0
0.560784,0,0,0,0
0.562339,0,0,0,0
0.563889,0,0,0,0
0.565457,0,0,0,0
0.567010,0,0,0,0
0.568559,0,0,0,0
0.570110,0,0,0,0
0.572003,0,0,0,0
0.573445,0,0,0,0
0.575000,0,0,0,0
0.576401,0,0,0,0
0.577783,0,0,0,0
0.579166,0,0,0,0
0.580549,0,0,0,0
0.581929,0,0,0,0
0.583304,0,0,0,0
0.584682,0,0,0,0
0.586059,0,0,0,0
0.587490,0,0,0,0
0.588869,0,0,0,0
0.590294,0,0,0,0
0.591671,0,0,0,0
0.593061,0,0,0,0
0.594488,0,0,0,0
0.595866,0,0,0,0
0.597243,0,0,0,0
0.598630,0,0,0,0
0.600006,0,0,0,0
0.601393,0,0,0,0
0.602845,0,0,0,0
0.604203,0,0,0,0
0.605557,0,0,0,0
0.606911,0,0,0,0
0.608263,0,0,0,0
0.609624,0,0,0,0
0.610978,0,0,0,0
0.612332,0,0,0,0
0.613686,0,0,0,0
0.615040,0,0,0,0
0.616395,0,0,0,0
0.617751,0,0,0,0
0.619143,0,0,0,0
0.620563,0,0,0,0
0.621973,0,0,0,0
0.623382,0,0,0,0
0.624685,0,0,0,0
0.626105,0,0,0,0
0.627516,0,0,0,0
0.628927,0,0,0,0
0.630346,0,0,0,0
0.631769,0,0,0,0
0.633187,0,0,0,0
0.634497,0,0,0,0
0.635766,0,0,0,0
0.637129,0,0,0,0
0.638497,0,0,0,0
0.639857,0,0,0,0
0.641158,0,0,0,0
0.642525,0,0,0,0
0.643778,0,0,0,0
0.645195,0,0,0,0
0.646340,0,0,0,0
0.647701,0,0,0,0
0.648953,0,0,0,0
0.650290,0,0,0,0
0.651607,0,0,0,0
0.653054,0,0,0,0
0.654435,0,0,0,0
0.655827,0,0,0,0
0.657499,0,0,0,0
0.658872,0,0,0,0
0.660237,0,0,0,0
0.661624,0,0,0,0
0.663009,0,0,0,0
0.664413,0,0,0,0
0.665801,0,0,0,0
0.667231,0,0,0,0
0.668614,0,0,0,0
0.669992,0,0,0,0
0.671390,0,0,0,0
0.672774,0,0,0,0
0.674269,0,0,0,0
0.675655,0,0,0,0
0.677081,0,0,0,0
0.678465,0,0,0,0
