csv_path,group,chunk,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk005.csv,SP,5,2387,24,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk006.csv,SP,6,2398,24,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk007.csv,SP,7,2392,24,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk008.csv,SP,8,2372,24,3,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk009.csv,SP,9,2483,13,3,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/12_RB/RB_chunk001.csv,RB,1,2514,8,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/12_RB/RB_chunk002.csv,RB,2,2525,8,3,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/12_RB/RB_chunk003.csv,RB,3,2567,8,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/12_RB/RB_chunk004.csv,RB,4,2523,8,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/12_RB/RB_chunk005.csv,RB,5,2532,8,4,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/12_RB/RB_chunk006.csv,RB,6,2524,8,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/12_RB/RB_chunk007.csv,RB,7,2520,8,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/13_LRZ/LRZ_chunk001.csv,LRZ,1,2575,3,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/14_ALWAYSON/ALWAYSON_chunk001.csv,ALWAYSON,1,2624,1,1,5,False
