elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
0.421824,0,0,0,0
0.423407,0,0,0,0
0.424999,0,0,0,0
0.426441,0,0,0,0
0.427963,0,0,0,0
0.429511,0,0,0,0
0.431107,0,0,0,0
0.432656,0,0,0,0
0.434205,0,0,0,0
0.435756,0,0,0,0
0.437316,0,0,0,0
0.438868,0,0,0,0
0.440418,0,0,0,0
0.441965,0,0,0,0
0.443478,0,0,0,0
0.444997,0,0,0,0
0.446549,0,0,0,0
0.448156,0,0,0,0
0.449704,0,0,0,0
0.451254,0,0,0,0
0.452803,0,0,0,0
0.454354,0,0,0,0
0.455903,0,0,0,0
0.457451,0,0,0,0
0.459015,0,0,0,0
0.460566,0,0,0,0
0.462114,0,0,0,0
0.463571,0,0,0,0
0.465121,0,0,0,0
0.466673,0,0,0,0
0.468222,0,0,0,0
0.469784,0,0,0,0
0.471334,0,0,0,0
0.472884,0,0,0,0
0.474436,0,0,0,0
0.475987,0,0,0,0
0.477535,0,0,0,0
0.479131,0,0,0,0
0.480694,0,0,0,0
0.482242,0,0,0,0
0.483813,0,0,0,0
0.485205,0,0,0,0
0.486723,0,0,0,0
0.488273,0,0,0,0
0.489820,0,0,0,0
0.491255,0,0,0,0
0.492775,0,0,0,0
0.494326,0,0,0,0
0.495874,0,0,0,0
0.497422,0,0,0,0
0.498973,0,0,0,0
0.500513,0,0,0,0
0.502065,0,0,0,0
0.503501,0,0,0,0
0.504929,0,0,0,0
0.506322,0,0,0,0
0.507710,0,0,0,0
0.509097,0,0,0,0
0.510485,0,0,0,0
0.512037,0,0,0,0
0.513590,0,0,0,0
0.515009,0,0,0,0
0.516529,0,0,0,0
0.518077,0,0,0,0
0.519631,0,0,0,0
0.521178,0,0,0,0
0.522729,0,0,0,0
0.524292,0,0,0,0
0.525841,0,0,0,0
0.527434,0,0,0,0
0.528984,0,0,0,0
0.530536,0,0,0,0
0.532085,0,0,0,0
0.533633,0,0,0,0
0.535196,0,0,0,0
0.536746,0,0,0,0
0.538297,0,0,0,0
0.539847,0,0,0,0
0.541395,0,0,0,0
0.542989,0,0,0,0
0.544539,0,0,0,0
0.546100,0,0,0,0
0.547485,0,0,0,0
0.549005,0,0,0,0
0.550557,0,0,0,0
0.552107,0,0,0,0
0.553654,0,0,0,0
0.555203,0,0,0,0
0.556766,0,0,0,0
0.558315,0,0,0,0
0.559865,0,0,0,0
0.561414,0,0,0,0
0.562964,0,0,0,0
0.564514,0,0,0,0
0.566062,0,0,0,0
0.567629,0,0,0,0
0.569178,0,0,0,0
0.570728,0,0,0,0
0.572278,0,0,0,0
0.573827,0,0,0,0
0.575421,0,0,0,0
0.576971,0,0,0,0
0.578536,0,0,0,0
0.580085,0,0,0,0
0.581633,0,0,0,0
0.583182,0,0,0,0
0.584732,0,0,0,0
0.586283,0,0,0,0
0.587833,0,0,0,0
0.589392,0,0,0,0
0.590987,0,0,0,0
0.592537,0,0,0,0
0.594084,0,0,0,0
0.595614,0,0,0,0
0.597005,0,0,0,0
0.598522,0,0,0,0
0.600084,0,0,0,0
0.601633,0,0,0,0
0.603183,0,0,0,0
0.604733,0,0,0,0
0.606285,0,0,0,0
0.607836,0,0,0,0
0.609384,0,0,0,0
0.610949,0,0,0,0
0.612498,0,0,0,0
0.614047,0,0,0,0
0.615596,0,0,0,0
0.617135,0,0,0,0
0.618552,0,0,0,0
0.620069,0,0,0,0
0.621628,0,0,0,0
0.623219,0,0,0,0
0.624646,0,0,0,0
0.626169,0,0,0,0
0.627723,0,0,0,0
0.629273,0,0,0,0
0.630824,0,0,0,0
0.632388,0,0,0,0
0.633935,0,0,0,0
0.635433,0,0,0,0
0.636953,0,0,0,0
0.638504,0,0,0,0
0.640100,0,0,0,0
0.641647,0,0,0,0
0.643210,0,0,0,0
0.644759,0,0,0,0
0.646310,0,0,0,0
0.647860,0,0,0,0
0.649408,0,0,0,0
0.650960,0,0,0,0
0.652509,0,0,0,0
0.654070,0,0,0,0
