elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
1.019898,0,0,0,0
1.021441,0,0,0,0
1.022875,0,0,0,0
1.024499,0,0,0,0
1.026111,0,0,0,0
1.027667,0,0,0,0
1.029221,0,0,0,0
1.030772,0,0,0,0
1.032331,0,0,0,0
1.033895,0,0,0,0
1.035453,0,0,0,0
1.037004,0,0,0,0
1.038555,0,0,0,0
1.040107,0,0,0,0
1.041585,0,0,0,0
1.043471,0,0,0,0
1.045216,0,0,0,0
1.046620,0,0,0,0
1.048060,0,0,0,0
1.049450,0,0,0,0
1.050838,0,0,0,0
1.052229,0,0,0,0
1.053616,0,0,0,0
1.055135,0,0,0,0
1.056708,0,0,0,0
1.058133,0,0,0,0
1.059657,0,0,0,0
1.061210,0,0,0,0
1.062762,0,0,0,0
1.064147,0,0,0,0
1.065668,0,0,0,0
1.067234,0,0,0,0
1.068788,0,0,0,0
1.070339,0,0,0,0
1.071892,0,0,0,0
1.073443,0,0,0,0
1.074871,0,0,0,0
1.076406,0,0,0,0
1.077847,0,0,0,0
1.079417,0,0,0,0
1.080973,0,0,0,0
1.082527,0,0,0,0
1.084082,0,0,0,0
1.085638,0,0,0,0
1.087194,0,0,0,0
1.088764,0,0,0,0
1.090318,0,0,0,0
1.091873,0,0,0,0
1.093428,0,0,0,0
1.095024,0,0,0,0
1.096627,0,0,0,0
1.098176,0,0,0,0
1.099745,0,0,0,0
1.101298,0,0,0,0
1.102850,0,0,0,0
1.104407,0,0,0,0
1.105958,0,0,0,0
1.107513,0,0,0,0
1.109066,0,0,0,0
1.110629,0,0,0,0
1.112146,0,0,0,0
1.113668,0,0,0,0
