elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.623070,0,0,0,0,0,0,0,4134438
0.624390,0,0,0,0,0,0,0,4154265
0.625667,0,0,0,0,0,0,0,4022928
0.626946,0,0,0,0,0,0,0,4026996
0.628232,0,0,0,0,0,0,0,4054101
0.629510,0,0,0,0,0,0,0,4022670
0.630821,0,0,0,0,0,0,0,4132674
0.632098,0,0,0,0,0,0,0,4021494
0.633374,0,0,0,0,0,0,0,4020081
0.634652,0,0,0,0,0,0,0,4025241
0.635929,0,0,0,0,0,0,0,4020183
0.637205,0,0,0,0,0,0,0,4017774
0.638491,0,0,0,0,0,0,0,4054794
0.639769,0,0,0,0,0,0,0,4025079
0.641045,0,0,0,0,0,0,0,4017561
0.642322,0,0,0,0,0,0,0,4024182
0.643598,0,0,0,0,0,0,0,4019361
0.644874,0,0,0,0,0,0,0,4018731
0.646150,0,0,0,0,0,0,0,4025031
0.647462,0,0,0,0,0,0,0,4128207
0.648747,0,0,0,0,0,0,0,4045779
0.650023,0,0,0,0,0,0,0,4018851
0.651300,0,0,0,0,0,0,0,4024992
0.652577,0,0,0,0,0,0,0,4022247
0.653853,0,0,0,0,0,0,0,4020702
0.655165,0,0,0,0,0,0,0,4131216
0.656442,0,0,0,0,0,0,0,4022379
0.657718,0,0,0,0,0,0,0,4019901
0.659005,0,0,0,0,0,0,0,4053594
0.660281,0,0,0,0,0,0,0,4021047
0.661558,0,0,0,0,0,0,0,4022040
0.662869,0,0,0,0,0,0,0,4129986
0.664146,0,0,0,0,0,0,0,4021839
0.665422,0,0,0,0,0,0,0,4018548
0.666700,0,0,0,0,0,0,0,4024659
0.667976,0,0,0,0,0,0,0,4019931
0.669260,0,0,0,0,0,0,0,4045023
0.670538,0,0,0,0,0,0,0,4132224
0.671849,0,0,0,0,0,0,0,4022931
0.673125,0,0,0,0,0,0,0,4018635
0.674403,0,0,0,0,0,0,0,4027929
0.675679,0,0,0,0,0,0,0,4020909
0.676956,0,0,0,0,0,0,0,4019853
0.678232,0,0,0,0,0,0,0,4025454
0.679553,0,0,0,0,0,0,0,4156329
0.680829,0,0,0,0,0,0,0,4019109
0.682105,0,0,0,0,0,0,0,4225359
0.683449,0,0,0,0,0,0,0,4027707
0.684726,0,0,0,0,0,0,0,4019277
0.686129,0,0,0,0,0,0,0,4508118
0.687493,0,0,0,0,0,0,0,4223931
0.688777,0,0,0,0,0,0,0,4034199
0.690070,0,0,0,0,0,0,0,4072653
0.691349,0,0,0,0,0,0,0,4028769
0.692627,0,0,0,0,0,0,0,4023861
0.693903,0,0,0,0,0,0,0,4019721
0.695221,0,0,0,0,0,0,0,4159212
0.696502,0,0,0,0,0,0,0,4026120
0.697778,0,0,0,0,0,0,0,4019334
0.699057,0,0,0,0,0,0,0,4029513
0.700343,0,0,0,0,0,0,0,4051899
0.701620,0,0,0,0,0,0,0,4018242
0.702932,0,0,0,0,0,0,0,4133883
0.704206,0,0,0,0,0,0,0,4007769
0.705477,0,0,0,0,0,0,0,4006506
0.706752,0,0,0,0,0,0,0,4018851
