elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.805057,0,0,0,0,0,0,0,0
0.806462,0,0,0,0,0,0,0,0
0.807863,0,0,0,0,0,0,0,0
0.809264,0,0,0,0,0,0,0,0
0.810664,0,0,0,0,0,0,0,0
0.812063,0,0,0,0,0,0,0,0
0.813463,0,0,0,0,0,0,0,0
0.814905,0,0,0,0,0,0,0,0
0.816317,0,0,0,0,0,0,0,0
0.817717,0,0,0,0,0,0,0,0
0.819117,0,0,0,0,0,0,0,0
0.820515,0,0,0,0,0,0,0,0
0.821996,0,0,0,0,0,0,0,0
0.823394,0,0,0,0,0,0,0,0
0.824800,0,0,0,0,0,0,0,0
0.826279,0,0,0,0,0,0,0,0
0.827737,0,0,0,0,0,0,0,0
0.829159,0,0,0,0,0,0,0,0
0.830652,0,0,0,0,0,0,0,0
0.832023,0,0,0,0,0,0,0,0
0.833397,0,0,0,0,0,0,0,0
0.834771,0,0,0,0,0,0,0,0
0.836154,0,0,0,0,0,0,0,0
0.837623,0,0,0,0,0,0,0,0
0.839014,0,0,0,0,0,0,0,0
0.840388,0,0,0,0,0,0,0,0
0.841830,0,0,0,0,0,0,0,0
0.843203,0,0,0,0,0,0,0,0
0.844579,0,0,0,0,0,0,0,0
0.846083,0,0,0,0,0,0,0,0
0.847460,0,0,0,0,0,0,0,0
0.848885,0,0,0,0,0,0,0,0
0.850316,0,0,0,0,0,0,0,0
0.851667,0,0,0,0,0,0,0,0
0.853095,0,0,0,0,0,0,0,0
0.854473,0,0,0,0,0,0,0,0
0.855850,0,0,0,0,0,0,0,0
0.857226,0,0,0,0,0,0,0,0
0.858602,0,0,0,0,0,0,0,0
0.859978,0,0,0,0,0,0,0,0
0.861408,0,0,0,0,0,0,0,0
0.862784,0,0,0,0,0,0,0,0
0.864160,0,0,0,0,0,0,0,0
0.865628,0,0,0,0,0,0,0,0
0.867045,0,0,0,0,0,0,0,0
0.868416,0,0,0,0,0,0,0,0
0.869798,0,0,0,0,0,0,0,0
0.871256,0,0,0,0,0,0,0,0
0.872637,0,0,0,0,0,0,0,0
0.873870,0,0,0,0,0,0,0,0
0.875235,0,0,0,0,0,0,0,0
0.876597,0,0,0,0,0,0,0,0
0.877960,0,0,0,0,0,0,0,0
0.880326,0,0,0,0,0,0,0,0
0.881822,0,0,0,0,0,0,0,0
0.883261,0,12,0,0,0,0,0,0
0.884550,0,0,0,0,0,0,0,0
0.886204,0,0,0,0,0,0,0,0
0.887614,0,0,0,0,0,0,0,0
0.889021,0,0,0,0,0,0,0,0
0.890431,0,0,0,0,0,0,0,0
0.891838,0,0,0,0,0,0,0,0
0.893260,0,0,0,0,0,0,0,0
0.894704,0,0,0,0,0,0,0,0
0.896118,0,0,0,0,0,0,0,0
0.897832,0,0,0,0,0,0,0,0
0.899255,0,0,0,0,0,0,0,0
0.900831,0,0,0,0,0,0,0,0
0.902235,0,0,0,0,0,0,0,0
0.903642,0,0,0,0,0,0,0,0
0.905040,0,0,0,0,0,0,0,0
0.906439,0,0,0,0,0,0,0,0
0.907839,0,0,0,0,0,0,0,0
0.909472,0,0,0,0,0,0,0,0
0.911045,0,0,0,0,0,0,0,0
0.912454,0,0,0,0,0,0,0,0
0.913873,0,0,0,0,0,0,0,0
0.915275,0,0,0,0,0,0,0,0
0.916758,0,0,0,0,0,0,0,0
0.918288,0,0,0,0,0,0,0,0
0.919689,0,0,0,0,0,0,0,0
0.921144,0,0,0,0,0,0,0,0
0.922549,0,0,0,0,0,0,0,0
0.923960,0,0,0,0,0,0,0,0
0.925363,0,0,0,0,0,0,0,0
0.926811,0,0,0,0,0,0,0,0
0.928217,0,0,0,0,0,0,0,0
