group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
CP,CP_SQE_INSTR_COUNTER,flat_or_saturated,941689.0,892963.0,4777.0,0.005349605750742192,-0.47735616498957756,-240.9268313172045,892963.0,1140.0,16116.0,26693.0,4777.0
CP,CP_SQE_SYS_WFI_STALL,flat_or_saturated,934718.0,934718.0,0.0,0.0,-0.47660312381939823,-255.1943464381722,934718.0,0.0,0.0,0.0,0.0
CP,CP_PREEMPTION_SWITCH_IN_TIME,flat_or_saturated,905526.0,875214.0,0.0,0.0,-0.48753151026249614,-242.44997479838722,875214.0,0.0,30312.0,0.0,0.0
SP,SP_FLOW_CONTROL_WORKING_CYCLES,flat_or_saturated,891797.0,891797.0,0.0,0.0,-0.47660312381939823,-243.4761634744625,891797.0,0.0,0.0,0.0,0.0
SP,SP_TTU_GPR_WR_REQ,flat_or_saturated,891731.0,891731.0,0.0,0.0,-0.4766031238193982,-243.4581443212367,891731.0,0.0,0.0,0.0,0.0
CP,CP_ICACHE_HITS,flat_or_saturated,890155.0,843056.0,5350.0,0.006345960410696324,-0.47665429641295093,-227.05062373991947,843056.0,1072.0,15438.0,25239.0,5350.0
SP,SP_LM_BANK_CONFLICTS,flat_or_saturated,884739.0,884739.0,0.0,0.0,-0.47660312381939823,-241.54920614919368,884739.0,0.0,0.0,0.0,0.0
SP,SP_TTU_GPR_RD_CYCLES,flat_or_saturated,884656.0,884656.0,0.0,0.0,-0.4766031238193983,-241.52654569892485,884656.0,0.0,0.0,0.0,0.0
CP,CP_MEMORY_POOL_ABOVE_THRESH,flat_or_saturated,855668.0,855668.0,0.0,0.0,-0.47660312381939823,-233.6123151881722,855668.0,0.0,0.0,0.0,0.0
CP,CP_MEMORY_POOL_SYNC_STALL,flat_or_saturated,855573.0,855573.0,0.0,0.0,-0.4766031238193983,-233.58637852822596,855573.0,0.0,0.0,0.0,0.0
UCHE,UCHE_BUSY_CYCLES,flat_or_saturated,768540.0,768540.0,0.0,0.0,-0.4766031238193982,-209.82484879032276,768540.0,0.0,0.0,0.0,0.0
SP,SP_ICL1_REQUESTS,flat_or_saturated,711744.0,711744.0,0.0,0.0,-0.4766031238193982,-194.3185483870969,711744.0,0.0,0.0,0.0,0.0
RBBM,RBBM_US_UCHE_BUSY,flat_or_saturated,675508.0,675508.0,0.0,0.0,-0.4766031238193981,-184.42548723118296,675508.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_CTRL_CYCLES,flat_or_saturated,674845.0,674845.0,0.0,0.0,-0.4766031238193983,-184.24447664650546,674845.0,0.0,0.0,0.0,0.0
HLSQ,HLSQ_BUSY_CYCLES,flat_or_saturated,664600.0,645880.0,1768.0,0.0027373505914411347,-0.4771240539842175,-175.26629704301092,645880.0,416.0,6240.0,10296.0,1768.0
RBBM,RBBM_US_HLSQ_BUSY,flat_or_saturated,661101.0,641757.0,1768.0,0.002754936837463401,-0.4773499015314303,-174.1799605174733,641757.0,520.0,6552.0,10504.0,1768.0
SP,SP_CS_INVOCATIONS,flat_or_saturated,655360.0,655360.0,0.0,0.0,-0.47660312381939823,-178.92473118279577,655360.0,0.0,0.0,0.0,0.0
SP,SP_FS_STAGE_EFU_INSTRUCTIONS,flat_or_saturated,655360.0,655360.0,0.0,0.0,-0.47660312381939823,-178.92473118279577,655360.0,0.0,0.0,0.0,0.0
SP,SP_PIXELS,flat_or_saturated,655360.0,655360.0,0.0,0.0,-0.47660312381939823,-178.92473118279577,655360.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_LOAD_CYCLES,flat_or_saturated,572010.0,572010.0,0.0,0.0,-0.47660312381939823,-156.16872479838716,572010.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_JOIN_CYCLES,flat_or_saturated,563777.0,563777.0,0.0,0.0,-0.4766031238193982,-153.9209719422044,563777.0,0.0,0.0,0.0,0.0
TP,TP_L1_5_L2_COMPRESS_MISS,flat_or_saturated,541730.0,541730.0,0.0,0.0,-0.47660312381939823,-147.90175571236566,541730.0,0.0,0.0,0.0,0.0
