elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.322986,0,0,104,0
0.324536,0,0,104,0
0.326103,0,0,104,0
0.327654,0,0,104,0
0.329203,0,0,104,0
0.330797,0,0,104,0
0.332348,0,0,104,0
0.333900,0,0,104,0
0.335451,0,0,104,0
0.337014,0,0,104,0
0.338610,0,0,104,0
0.340161,0,0,104,0
0.341709,0,0,104,0
0.343137,0,0,104,0
0.344530,0,0,104,0
0.346048,0,0,104,0
0.347657,0,0,104,0
0.349207,0,0,104,0
0.350757,0,0,104,0
0.352308,0,0,104,0
0.353859,0,0,104,0
0.355455,0,0,104,0
0.357004,0,0,104,0
0.358570,0,0,104,0
0.360122,0,0,104,0
0.361670,0,0,104,0
0.363227,0,0,104,0
0.364777,0,0,104,0
0.366329,0,0,104,0
0.367871,0,0,104,0
0.369425,0,0,104,0
0.371059,0,0,104,0
0.372650,0,0,104,0
0.374200,0,0,104,0
0.375750,0,0,104,0
0.377297,0,0,104,0
0.378889,0,0,104,0
0.380454,0,0,104,0
0.382005,0,0,104,0
0.383556,0,0,104,0
0.385103,0,0,104,0
0.386697,0,0,104,0
0.388247,0,0,104,0
0.389798,0,0,104,0
0.391362,0,0,104,0
0.392910,0,0,104,0
0.394503,0,0,104,0
0.395939,0,0,104,0
0.397460,0,0,104,0
0.399108,0,0,104,0
0.400655,0,0,104,0
0.402260,0,0,104,0
0.403809,0,0,104,0
0.405356,0,0,104,0
0.406905,0,0,104,0
0.408453,0,0,104,0
0.410003,0,0,104,0
0.411598,0,0,104,0
0.413160,0,0,104,0
0.414709,0,0,104,0
0.416258,0,0,104,0
0.417808,0,0,104,0
0.419358,0,0,104,0
0.420904,0,0,104,0
0.422455,0,0,104,0
0.424018,0,0,104,0
0.425565,0,0,104,0
0.427118,0,0,104,0
0.428664,0,0,104,0
0.430213,0,0,104,0
0.431762,0,0,104,0
0.433309,0,0,104,0
0.434914,0,0,104,0
0.436463,0,0,104,0
0.438013,0,0,104,0
0.439561,0,0,104,0
0.441108,0,0,104,0
0.442701,0,0,104,0
0.444249,0,0,104,0
0.445813,0,0,104,0
0.447363,0,0,104,0
0.448911,0,0,104,0
0.450504,0,0,104,0
0.452051,0,0,104,0
0.453475,0,0,104,0
0.455073,0,0,104,0
0.456644,0,0,104,0
0.458239,0,0,104,0
0.459788,0,0,104,0
0.461337,0,0,104,0
0.462888,0,0,104,0
0.464438,0,0,104,0
0.465989,0,0,104,0
0.467597,0,0,104,0
0.469145,0,0,104,0
0.470694,0,0,104,0
0.472244,0,0,104,0
0.473795,0,0,104,0
0.475342,0,0,104,0
0.476919,0,0,104,0
