elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
0.140453,0,0,0,0
0.141930,0,0,0,0
0.143451,0,0,0,0
0.144998,0,0,0,0
0.146600,0,0,0,0
0.148087,0,0,0,0
0.149500,0,0,0,0
0.150931,0,0,0,0
0.152332,0,0,0,0
0.153722,0,0,0,0
0.155108,0,0,0,0
0.156648,0,0,0,0
0.158212,0,0,0,0
0.159610,0,0,0,0
0.160998,0,0,0,0
0.162458,0,0,0,0
0.163846,0,0,0,0
0.165233,0,0,0,0
0.166658,0,0,0,0
0.168173,0,0,0,0
0.169726,0,0,0,0
0.171277,0,0,0,0
0.172840,0,0,0,0
0.174434,0,0,0,0
0.175986,0,0,0,0
0.177538,0,0,0,0
0.179089,0,0,0,0
0.180639,0,0,0,0
0.182232,0,0,0,0
0.183797,0,0,0,0
0.185348,0,0,0,0
0.187044,0,0,0,0
0.188463,0,0,0,0
0.189902,0,0,0,0
0.191299,0,0,0,0
0.192687,0,0,0,0
0.194086,0,0,0,0
0.195442,0,0,0,0
0.196955,0,0,0,0
0.198569,0,0,0,0
0.200119,0,0,0,0
0.201671,0,0,0,0
0.203222,0,0,0,0
0.204928,0,0,0,0
0.206368,0,0,0,0
0.207758,0,0,0,0
0.209145,0,0,0,0
0.210536,0,0,0,0
0.211923,0,0,0,0
0.213440,0,0,0,0
0.215035,0,0,0,0
0.216598,0,0,0,0
0.218150,0,0,0,0
0.219700,0,0,0,0
0.221250,0,0,0,0
0.222829,0,0,0,0
0.224369,0,0,0,0
0.225790,0,0,0,0
0.227204,0,0,0,0
0.228726,0,0,0,0
0.230320,0,0,0,0
0.231872,0,0,0,0
0.233423,0,0,0,0
0.234974,0,0,0,0
0.236523,0,0,0,0
0.238132,0,0,0,0
0.239683,0,0,0,0
0.241232,0,0,0,0
0.242649,0,0,0,0
0.244041,0,0,0,0
0.245559,0,0,0,0
0.247155,0,0,0,0
0.248718,0,0,0,0
0.250268,0,0,0,0
0.251811,0,0,0,0
0.253485,0,0,0,0
0.254971,0,0,0,0
0.256360,0,0,0,0
0.257780,0,0,0,0
0.259582,0,0,0,0
0.261104,0,0,0,0
0.262524,0,0,0,0
0.263915,0,0,0,0
0.265303,0,0,0,0
0.266843,0,0,0,0
0.268233,0,0,0,0
0.269631,0,0,0,0
0.271054,0,0,0,0
0.272440,0,0,0,0
0.273828,0,0,0,0
0.275213,0,0,0,0
0.276725,0,0,0,0
0.278317,0,0,0,0
0.279881,0,0,0,0
0.281431,0,0,0,0
0.282991,0,0,0,0
0.284664,0,0,0,0
0.286105,0,0,0,0
0.287622,0,0,0,0
0.289170,0,0,0,0
0.290739,0,0,0,0
0.292287,0,0,0,0
0.293882,0,0,0,0
0.295431,0,0,0,0
0.296979,0,0,0,0
0.298492,0,0,0,0
0.300010,0,0,0,0
0.301575,0,0,0,0
0.303170,0,0,0,0
0.304717,0,0,0,0
0.306266,0,0,0,0
0.307695,0,0,0,0
0.309220,0,0,0,0
0.310773,0,0,0,0
0.312334,0,0,0,0
0.313886,0,0,0,0
0.315436,0,0,0,0
0.316985,0,0,0,0
0.318540,0,0,0,0
0.320088,0,0,0,0
0.321639,0,0,0,0
0.323091,0,0,0,0
0.324614,0,0,0,0
0.326208,0,0,0,0
0.327751,0,0,0,0
0.329415,0,0,0,0
0.330964,0,0,0,0
0.332513,0,0,0,0
0.334076,0,0,0,0
0.335628,0,0,0,0
0.337178,0,0,0,0
0.338733,0,0,0,0
0.340282,0,0,0,0
0.341877,0,0,0,0
0.343429,0,0,0,0
0.344992,0,0,0,0
0.346546,0,0,0,0
0.348195,0,0,0,0
0.349598,0,0,0,0
0.351159,0,0,0,0
0.352708,0,0,0,0
0.354259,0,0,0,0
0.355825,0,0,0,0
0.357424,0,0,0,0
0.359019,0,0,0,0
0.360569,0,0,0,0
0.362121,0,0,0,0
0.363673,0,0,0,0
0.365222,0,0,0,0
0.366639,0,0,0,0
0.368032,0,0,0,0
0.369550,0,0,0,0
0.371100,0,0,0,0
0.372650,0,0,0,0
0.374243,0,0,0,0
0.375794,0,0,0,0
0.377360,0,0,0,0
0.378911,0,0,0,0
0.380460,0,0,0,0
0.382056,0,0,0,0
0.383608,0,0,0,0
0.385157,0,0,0,0
0.387078,0,0,0,0
0.388552,0,0,0,0
0.389993,0,0,0,0
0.391384,0,0,0,0
0.392771,0,0,0,0
0.394160,0,0,0,0
0.395547,0,0,0,0
0.397061,0,0,0,0
0.398616,0,0,0,0
0.400179,0,0,0,0
0.401731,0,0,0,0
0.403282,0,0,0,0
0.404832,0,0,0,0
0.406426,0,0,0,0
0.407978,0,0,0,0
0.409531,0,0,0,0
0.411095,0,0,0,0
0.412644,0,0,0,0
0.414239,0,0,0,0
0.415791,0,0,0,0
0.417344,0,0,0,0
0.418896,0,0,0,0
0.420444,0,0,0,0
0.422053,0,0,0,0
0.423604,0,0,0,0
0.425155,0,0,0,0
0.427158,0,0,0,0
0.428729,0,0,0,0
0.430321,0,0,0,0
0.431864,0,0,0,0
0.433608,0,0,0,0
0.435152,0,0,0,0
0.436700,0,0,0,0
0.438291,0,0,0,0
0.439841,0,0,0,0
