elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.579015,0,0,0,0,0,0
0.580578,0,0,0,0,0,0
0.582140,0,0,0,0,0,0
0.583700,0,0,0,0,0,0
0.585261,0,0,0,0,0,0
0.586865,0,0,0,0,0,0
0.588315,0,0,0,0,0,0
0.589846,0,0,0,0,0,0
0.591451,0,0,0,0,0,0
0.593012,0,0,0,0,0,0
0.594445,0,0,0,0,0,0
0.595975,0,0,0,0,0,0
0.597534,0,0,0,0,0,0
0.599158,0,0,0,0,0,0
0.601678,0,0,0,0,0,0
0.603236,0,0,0,0,0,0
0.604647,0,0,0,0,0,0
0.606082,0,0,0,0,0,0
0.607477,0,0,0,0,0,0
0.608868,0,0,0,0,0,0
0.610295,0,0,0,0,0,0
0.611688,0,0,0,0,0,0
0.613205,0,0,0,0,0,0
0.614635,0,0,0,0,0,0
0.616158,0,0,0,0,0,0
0.617710,0,0,0,0,0,0
0.619388,0,0,0,0,0,0
0.620952,0,0,0,0,0,0
0.622385,0,0,0,0,0,0
0.623917,0,0,0,0,0,0
0.625477,0,0,0,0,0,0
0.627038,0,0,0,0,0,0
0.628598,0,0,0,0,0,0
0.630160,0,0,0,0,0,0
0.631733,0,0,0,0,0,0
0.633294,0,0,0,0,0,0
0.634900,0,0,0,0,0,0
0.636460,0,0,0,0,0,0
0.638022,0,0,0,0,0,0
0.639584,0,0,0,0,0,0
0.641144,0,0,0,0,0,0
0.642719,0,0,0,0,0,0
0.644410,0,0,0,0,0,0
0.645855,0,0,0,0,0,0
0.647270,0,0,0,0,0,0
0.648669,0,0,0,0,0,0
0.650161,0,0,0,0,0,0
0.651634,0,0,0,0,0,0
0.653041,0,0,0,0,0,0
0.654442,0,0,0,0,0,0
0.655970,0,0,0,0,0,0
0.657530,0,0,0,0,0,0
0.659089,0,0,0,0,0,0
0.660651,0,0,0,0,0,0
0.662214,0,0,0,0,0,0
0.663788,0,0,0,0,0,0
0.665347,0,0,0,0,0,0
0.666953,0,0,0,0,0,0
0.668515,0,0,0,0,0,0
0.670079,0,0,0,0,0,0
0.671642,0,0,0,0,0,0
0.673201,0,0,0,0,0,0
0.674776,0,0,0,0,0,0
0.676337,0,0,0,0,0,0
0.677963,0,0,0,0,0,0
0.679589,0,0,0,0,0,0
0.681149,0,0,0,0,0,0
0.682755,0,0,0,0,0,0
0.684317,0,0,0,0,0,0
0.685949,0,0,0,0,0,0
0.687508,0,0,0,0,0,0
0.689067,0,0,0,0,0,0
0.690513,0,0,0,0,0,0
0.692066,0,0,0,0,0,0
0.693626,0,0,0,0,0,0
0.695191,0,0,0,0,0,0
0.696763,0,0,0,0,0,0
0.698371,0,0,0,0,0,0
0.699933,0,0,0,0,0,0
0.701493,0,0,0,0,0,0
0.703055,0,0,0,0,0,0
0.704615,0,0,0,0,0,0
0.707033,0,0,0,0,0,0
0.708595,0,0,0,0,0,0
0.710169,0,0,0,0,0,0
0.711732,0,0,0,0,0,0
0.713294,0,0,0,0,0,0
0.714900,0,0,0,0,0,0
0.716464,0,0,0,0,0,0
0.718029,0,0,0,0,0,0
0.719606,0,0,0,0,0,0
0.721168,0,0,0,0,0,0
0.722733,0,0,0,0,0,0
0.724297,0,0,0,0,0,0
0.725858,0,0,0,0,0,0
0.727465,0,0,0,0,0,0
0.729027,0,0,0,0,0,0
0.730646,0,0,0,0,0,0
0.732209,0,0,0,0,0,0
0.733771,0,0,0,0,0,0
0.735337,0,0,0,0,0,0
0.736898,0,0,0,0,0,0
0.738462,0,0,0,0,0,0
0.740025,0,0,0,0,0,0
0.741599,0,0,0,0,0,0
0.743121,0,0,0,0,0,0
0.744654,0,0,0,0,0,0
0.746219,0,0,0,0,0,0
0.747827,0,0,0,0,0,0
0.749388,0,0,0,0,0,0
