elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.121073,0,0,0,0,0,0,0,0
0.122475,0,0,0,0,0,0,0,0
0.125861,0,0,0,0,0,0,0,0
0.127264,0,0,0,0,0,0,0,0
0.128668,0,0,0,0,0,0,0,0
0.130070,0,0,0,0,0,0,0,0
0.131645,0,0,0,0,0,0,0,0
0.133032,0,0,0,0,0,0,0,0
0.134414,0,0,0,0,0,0,0,0
0.135778,0,0,0,0,0,0,0,0
0.137140,0,0,0,0,0,0,0,0
0.138502,0,0,0,0,0,0,0,0
0.139863,0,0,0,0,0,0,0,0
0.141224,0,0,0,0,0,0,0,0
0.142583,0,0,0,0,0,0,0,0
0.143945,0,0,0,0,0,0,0,0
0.145525,0,0,0,0,0,0,0,0
0.146969,0,0,0,0,0,0,0,0
0.148509,0,0,0,0,0,0,0,0
0.150081,0,0,0,0,0,0,0,0
0.151654,0,0,0,0,0,0,0,0
0.153227,0,0,0,0,0,0,0,0
0.154797,0,0,0,0,0,0,0,0
0.156381,0,0,0,0,0,0,0,0
0.157953,0,0,0,0,0,0,0,0
0.159523,0,0,0,0,0,0,0,0
0.161100,0,0,0,0,0,0,0,0
0.162671,0,0,0,0,0,0,0,0
0.164244,0,0,0,0,0,0,0,0
0.165816,0,0,0,0,0,0,0,0
0.167277,0,0,0,0,0,0,0,0
0.168880,0,0,0,0,0,0,0,0
0.170451,0,0,0,0,0,0,0,0
0.172025,0,0,0,0,0,0,0,0
0.173597,0,0,0,0,0,0,0,0
0.175168,0,0,0,0,0,0,0,0
0.176784,0,0,0,0,0,0,0,0
0.178370,0,0,0,0,0,0,0,0
0.179942,0,0,0,0,0,0,0,0
0.181514,0,0,0,0,0,0,0,0
0.183085,0,0,0,0,0,0,0,0
0.184656,0,0,0,0,0,0,0,0
0.186228,0,0,0,0,0,0,0,0
0.187801,0,0,0,0,0,0,0,0
0.189386,0,0,0,0,0,0,0,0
0.190956,0,0,0,0,0,0,0,0
0.192572,0,0,0,0,0,0,0,0
0.194144,0,0,0,0,0,0,0,0
