elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
1.337468,0,0,0,2120
1.339067,0,0,0,2117
1.340620,0,0,0,2122
1.342172,0,0,0,2122
1.343724,0,0,0,2119
1.345267,0,0,0,2273
1.346699,0,0,0,1684
1.348290,0,0,0,1687
1.349835,0,0,0,1684
1.351383,0,0,0,1797
1.352931,0,0,0,1685
1.354481,0,0,0,1684
1.356030,0,0,0,1754
1.357500,0,0,0,1917
1.359101,0,0,0,1793
1.360662,0,0,0,1825
1.362207,0,0,0,1843
1.363761,0,0,0,1795
1.365320,0,0,0,1794
1.367747,0,0,0,1805
1.370199,0,0,0,1791
1.371641,0,0,0,1791
1.373028,0,0,0,1789
1.374486,0,0,0,2018
1.375850,0,0,0,1789
1.377203,0,0,0,1789
1.378952,0,0,0,1789
1.380362,0,0,0,1793
1.381742,0,0,0,1838
1.383124,0,0,0,1791
1.384507,0,0,0,1794
1.385888,0,0,0,1789
1.387283,0,0,0,1812
1.388791,0,0,0,1790
1.390331,0,0,0,1808
1.391729,0,0,0,1794
1.393117,0,0,0,1872
1.394522,0,0,0,1793
1.395914,0,0,0,1789
1.397301,0,0,0,1794
1.398691,0,0,0,1790
1.400077,0,0,0,1792
1.401590,0,0,0,1795
1.403207,0,0,0,1967
1.404759,0,0,0,1788
1.406308,0,0,0,1808
1.407863,0,0,0,1794
1.409413,0,0,0,1793
1.411008,0,0,0,1794
1.412550,0,0,0,1794
1.413983,0,0,0,1935
1.415375,0,0,0,1935
1.416894,0,0,0,1937
1.418447,0,0,0,1938
1.420024,0,0,0,1936
1.421452,0,0,0,1941
1.422854,0,0,0,1935
1.424267,0,0,0,1936
1.425658,0,0,0,1935
1.427094,0,0,0,1936
1.428484,0,0,0,1933
1.429874,0,0,0,1936
1.431263,0,0,0,2021
1.432780,0,0,0,1938
1.434332,0,0,0,1937
1.435906,0,0,0,2027
1.437458,0,0,0,1936
1.439015,0,0,0,1940
1.440560,0,0,0,1935
1.442103,0,0,0,1932
1.443826,0,0,0,1937
1.445378,0,0,0,1936
1.446946,0,0,0,1933
1.448497,0,0,0,1937
1.450048,0,0,0,1931
1.451645,0,0,0,1932
1.453198,0,0,0,1932
1.454752,0,0,0,1932
1.456305,0,0,0,1934
1.457874,0,0,0,1936
1.459469,0,0,0,1934
1.460900,0,0,0,1931
1.462510,0,0,0,1939
1.464127,0,0,0,1937
1.465553,0,0,0,1936
1.467121,0,0,0,1937
1.468564,0,0,0,1980
1.470086,0,0,0,1991
1.471697,0,0,0,1978
1.473241,0,0,0,1984
1.474663,0,0,0,1983
1.476229,0,0,0,1985
1.477780,0,0,0,2165
1.479346,0,0,0,1987
1.480898,0,0,0,1986
1.482451,0,0,0,2005
1.484003,0,0,0,1980
1.485553,0,0,0,2132
1.487107,0,0,0,1980
1.488659,0,0,0,1985
