elapsed_s,RAS_NEVER_COUNT,RAS_BUSY_CYCLES,RAS_SUPERTILE_ACTIVE_CYCLES,RAS_STALL_CYCLES_LRZ
0.388066,0,0,0,0
0.389458,0,0,0,0
0.390841,0,0,0,0
0.392223,0,0,0,0
0.393673,0,4740,0,0
0.394934,0,0,0,0
0.396320,0,0,0,0
0.397703,0,0,0,0
0.399088,0,0,0,0
0.400484,0,0,0,0
0.401869,0,0,0,0
0.403253,0,0,0,0
0.404632,0,0,0,0
0.406012,0,0,0,0
0.407516,0,0,0,0
0.409680,0,0,0,0
0.411066,0,0,0,0
0.415489,0,0,0,0
0.416900,0,0,0,0
0.418286,0,0,0,0
0.420074,0,0,0,0
0.421777,0,0,0,0
0.423205,0,0,0,0
0.424709,0,0,0,0
0.426066,0,0,0,0
0.427478,0,0,0,0
0.428820,0,0,0,0
0.430159,0,0,0,0
0.431498,0,0,0,0
0.432853,0,0,0,0
