elapsed_s,PC_US_BV2BR_SWITCH,PC_US_BR2BV_SWITCH,PC_US_STALL_CYCLES_PC_S,PC_RESERVED_51,PC_RESERVED_52,PC_RESERVED_53,PC_RESERVED_54,PC_RESERVED_55
0.242126,0,0,0,0,0,0,0,0
0.243706,0,0,0,0,0,0,0,0
0.245280,0,0,0,0,0,0,0,0
0.246854,0,0,0,0,0,0,0,0
0.248427,0,0,0,0,0,0,0,0
0.249998,0,0,0,0,0,0,0,0
0.251571,0,0,0,0,0,0,0,0
0.253145,0,0,0,0,0,0,0,0
0.254732,0,0,0,0,0,0,0,0
0.256226,0,0,0,0,0,0,0,0
0.257766,0,0,0,0,0,0,0,0
0.259206,0,0,0,0,0,0,0,0
0.260740,0,0,0,0,0,0,0,0
0.262302,0,0,0,0,0,0,0,0
0.263912,0,0,0,0,0,0,0,0
0.265529,0,0,0,0,0,0,0,0
0.267104,0,0,0,0,0,0,0,0
0.268677,0,0,0,0,0,0,0,0
0.270249,0,0,0,0,0,0,0,0
0.271877,0,0,0,0,0,0,0,0
0.273450,0,0,0,0,0,0,0,0
0.275025,0,0,0,0,0,0,0,0
0.276612,0,0,0,0,0,0,0,0
0.278184,0,0,0,0,0,0,0,0
0.279630,0,0,0,0,0,0,0,0
0.281174,0,0,0,0,0,0,0,0
0.282749,0,0,0,0,0,0,0,0
0.284322,0,0,0,0,0,0,0,0
0.285894,0,0,0,0,0,0,0,0
0.287523,0,0,0,0,0,0,0,0
0.289098,0,0,0,0,0,0,0,0
0.290672,0,0,0,0,0,0,0,0
0.292246,0,0,0,0,0,0,0,0
0.293817,0,0,0,0,0,0,0,0
0.295393,0,0,0,0,0,0,0,0
0.296966,0,0,0,0,0,0,0,0
0.298552,0,0,0,0,0,0,0,0
0.300147,0,0,0,0,0,0,0,0
0.301719,0,0,0,0,0,0,0,0
0.303338,0,0,0,0,0,0,0,0
0.304913,0,0,0,0,0,0,0,0
0.306485,0,0,0,0,0,0,0,0
0.308064,0,0,0,0,0,0,0,0
0.309650,0,0,0,0,0,0,0,0
0.311224,0,0,0,0,0,0,0,0
0.312798,0,0,0,0,0,0,0,0
0.314370,0,0,0,0,0,0,0,0
0.315948,0,0,0,0,0,0,0,0
0.317520,0,0,0,0,0,0,0,0
0.319138,0,0,0,0,0,0,0,0
0.320606,0,0,0,0,0,0,0,0
0.322151,0,0,0,0,0,0,0,0
0.323724,0,0,0,0,0,0,0,0
0.325298,0,0,0,0,0,0,0,0
0.326875,0,0,0,0,0,0,0,0
0.328448,0,0,0,0,0,0,0,0
0.330020,0,0,0,0,0,0,0,0
0.331605,0,0,0,0,0,0,0,0
0.333180,0,0,0,0,0,0,0,0
0.334755,0,0,0,0,0,0,0,0
0.336372,0,0,0,0,0,0,0,0
0.337944,0,0,0,0,0,0,0,0
0.339517,0,0,0,0,0,0,0,0
0.341090,0,0,0,0,0,0,0,0
0.342678,0,0,0,0,0,0,0,0
0.344243,0,0,0,0,0,0,0,0
0.345806,0,0,0,0,0,0,0,0
0.347248,0,0,0,0,0,0,0,0
0.348792,0,0,0,0,0,0,0,0
0.350364,0,0,0,0,0,0,0,0
0.351943,0,0,0,0,0,0,0,0
0.353528,0,0,0,0,0,0,0,0
0.355102,0,0,0,0,0,0,0,0
0.356676,0,0,0,0,0,0,0,0
0.358247,0,0,0,0,0,0,0,0
0.359873,0,0,0,0,0,0,0,0
0.361445,0,0,0,0,0,0,0,0
0.363021,0,0,0,0,0,0,0,0
0.364606,0,0,0,0,0,0,0,0
0.366178,0,0,0,0,0,0,0,0
0.367794,0,0,0,0,0,0,0,0
