elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.101535,0,0,0,0
0.102775,0,0,0,0
0.104601,0,0,0,0
0.105840,0,0,0,0
0.107080,0,0,0,0
0.108307,0,0,0,0
0.109722,0,0,0,0
0.111140,0,0,0,0
0.112552,0,0,0,0
0.113962,0,0,0,0
0.115265,0,0,0,0
0.116590,0,0,0,0
0.118016,0,0,0,0
0.119447,0,0,0,0
0.120872,0,0,0,0
0.122300,0,0,0,0
0.123727,0,0,0,0
0.125153,0,0,0,0
0.126468,0,0,0,0
0.127896,0,0,0,0
0.129323,0,0,0,0
0.130753,0,0,0,0
0.132222,0,0,0,0
0.133564,0,0,0,0
0.134908,0,0,0,0
0.136256,0,0,0,0
0.137597,0,0,0,0
0.138938,0,0,0,0
0.140272,0,0,0,0
0.141623,0,0,0,0
0.142967,0,0,0,0
0.144341,0,0,0,0
0.145682,0,0,0,0
0.147023,0,0,0,0
0.148414,0,0,0,0
0.149795,0,0,0,0
0.151187,0,0,0,0
0.152582,0,0,0,0
0.153967,0,0,0,0
0.155352,0,0,0,0
0.156865,0,0,0,0
0.158413,0,0,0,0
0.159962,0,0,0,0
0.161511,0,0,0,0
0.162947,0,0,0,0
0.164492,0,0,0,0
0.166041,0,0,0,0
0.167592,0,0,0,0
0.169142,0,0,0,0
0.170690,0,0,0,0
0.172238,0,0,0,0
0.173680,0,0,0,0
0.175208,0,0,0,0
0.176759,0,0,0,0
0.178309,0,0,0,0
0.179892,0,0,0,0
0.181363,0,0,0,0
0.182747,0,0,0,0
0.184141,0,0,0,0
0.185649,0,0,0,0
0.187290,0,0,0,0
0.188842,0,0,0,0
0.190393,0,0,0,0
0.191947,0,0,0,0
0.193489,0,0,0,0
0.195043,0,0,0,0
0.196598,0,0,0,0
0.198146,0,0,0,0
0.199697,0,0,0,0
0.201248,0,0,0,0
0.202796,0,0,0,0
0.204408,0,0,0,0
0.205969,0,0,0,0
0.207521,0,0,0,0
0.209071,0,0,0,0
0.210619,0,0,0,0
0.212212,0,0,0,0
0.213762,0,0,0,0
