elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
1.312507,0,0,0,0
1.313937,0,0,0,0
1.315331,0,0,0,0
1.316692,0,0,0,0
1.318125,0,0,0,0
1.319524,0,0,0,0
1.320910,0,0,0,0
1.322330,0,0,0,0
1.323989,0,0,0,0
1.326491,0,0,0,0
1.327913,0,0,0,0
1.329348,0,0,0,0
1.330773,0,0,0,0
1.332286,0,0,0,0
1.333681,0,0,0,0
1.335027,0,0,0,0
1.336368,0,0,0,0
1.337733,0,0,0,0
1.339127,0,0,0,0
1.340514,0,0,0,0
1.341993,0,0,0,0
1.343542,0,0,0,0
1.345090,0,0,0,0
1.346669,0,0,0,0
1.348220,0,0,0,0
1.349774,0,0,0,0
1.351326,0,0,0,0
1.352766,0,0,0,0
1.354335,0,0,0,0
1.355887,0,0,0,0
1.357445,0,0,0,0
1.359001,0,0,0,0
1.360555,0,0,0,0
1.362155,0,0,0,0
1.363726,0,0,0,0
1.365363,0,0,0,0
1.366858,0,0,0,0
1.368262,0,0,0,0
1.369709,0,0,0,0
1.371096,0,0,0,0
1.372480,0,0,0,0
1.373878,0,0,0,0
1.375269,0,0,0,0
1.376658,0,0,0,0
1.378222,0,0,0,0
1.379778,0,0,0,0
1.381336,0,0,0,0
1.382892,0,0,0,0
1.384460,0,0,0,0
1.386061,0,0,0,0
1.387617,0,0,0,0
1.389171,0,0,0,0
1.390724,0,0,0,0
1.392268,0,0,0,0
1.393732,0,0,0,0
1.395270,0,0,0,0
1.396822,0,0,0,0
1.398376,0,0,0,0
1.399931,0,0,0,0
1.401487,0,0,0,0
1.403042,0,0,0,0
1.404594,0,0,0,0
1.406039,0,0,0,0
1.407564,0,0,0,0
1.409117,0,0,0,0
1.410678,0,0,0,0
1.412230,0,0,0,0
1.413785,0,0,0,0
1.415339,0,0,0,0
1.416906,0,0,0,0
1.418373,0,0,0,0
1.419896,0,0,0,0
1.421452,0,0,0,0
1.423006,0,0,0,0
1.424558,0,0,0,0
1.426160,0,0,0,0
1.427729,0,0,0,0
1.429345,0,0,0,0
1.430853,0,0,0,0
1.432405,0,0,0,0
1.434005,0,0,0,0
1.435560,0,0,0,0
1.437112,0,0,0,0
1.438686,0,0,0,0
1.440238,0,0,0,0
1.441838,0,0,0,0
1.443393,0,0,0,0
1.444946,0,0,0,0
1.446562,0,0,0,0
1.448114,0,0,0,0
1.449727,0,0,0,0
1.451282,0,0,0,0
1.452834,0,0,0,0
1.454388,0,0,0,0
1.455943,0,0,0,0
1.457499,0,0,0,0
1.459098,0,0,0,0
1.460665,0,0,0,0
1.462220,0,0,0,0
1.463774,0,0,0,0
1.465328,0,0,0,0
1.466883,0,0,0,0
1.468435,0,0,0,0
1.470249,0,0,0,0
1.471823,0,0,0,0
1.473379,0,0,0,0
1.475007,0,0,0,0
1.476552,0,0,0,0
1.477977,0,0,0,0
1.479501,0,0,0,0
1.481054,0,0,0,0
1.482628,0,0,0,0
1.484182,0,0,0,0
1.485738,0,0,0,0
1.487294,0,0,0,0
1.488849,0,0,0,0
1.490448,0,0,0,0
1.492004,0,0,0,0
1.493575,0,0,0,0
1.495129,0,0,0,0
1.496683,0,0,0,0
1.498283,0,0,0,0
1.499839,0,0,0,0
1.501396,0,0,0,0
1.502953,0,0,0,0
1.504521,0,0,0,0
1.506121,0,0,0,0
1.507677,0,0,0,0
1.509230,0,0,0,0
1.510831,0,0,0,0
1.512385,0,0,0,0
1.513987,0,0,0,0
1.515611,0,0,0,0
1.521509,0,0,0,0
1.522943,0,0,0,0
1.524264,0,0,0,0
1.525590,0,0,0,0
1.526905,0,0,0,0
1.528217,0,0,0,0
1.529529,0,0,0,0
1.530863,0,0,0,0
1.532143,0,0,0,0
1.533422,0,0,0,0
1.534702,0,0,0,0
1.535989,0,0,0,0
1.537271,0,0,0,0
1.538577,0,0,0,0
1.539848,0,0,0,0
1.541119,0,0,0,0
1.542391,0,0,0,0
