elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.550661,0,0,0,0
0.552206,0,0,0,0
0.553759,0,0,0,0
0.555306,0,0,0,0
0.556855,0,0,0,0
0.558404,0,0,0,0
0.560750,0,0,0,0
0.562689,0,0,0,0
0.564083,0,0,0,0
0.565511,0,0,0,0
0.566898,0,0,0,0
0.568283,0,0,0,0
0.569707,0,0,0,0
0.571092,0,0,0,0
0.572606,0,0,0,0
0.574043,0,0,0,0
0.575435,0,0,0,0
0.576866,0,0,0,0
0.578295,0,0,0,0
0.579719,0,0,0,0
0.581108,0,0,0,0
0.582621,0,0,0,0
0.584181,0,0,0,0
0.585735,0,0,0,0
0.587281,0,0,0,0
0.588831,0,0,0,0
0.590380,0,0,0,0
0.591926,0,0,0,0
0.593354,0,0,0,0
0.594765,0,0,0,0
0.596154,0,0,0,0
0.597543,0,0,0,0
0.598930,0,0,0,0
0.600317,0,0,0,0
0.601741,0,0,0,0
0.603255,0,0,0,0
0.604806,0,0,0,0
0.606270,0,0,0,0
0.607817,0,0,0,0
0.609407,0,0,0,0
0.610956,0,0,0,0
0.612507,0,0,0,0
0.614054,0,0,0,0
0.615598,0,0,0,0
0.617205,0,0,0,0
0.618755,0,0,0,0
0.620302,0,0,0,0
0.621944,0,0,0,0
0.623962,0,0,0,0
0.625407,0,0,0,0
0.626798,0,0,0,0
0.628196,0,0,0,0
0.629585,0,0,0,0
0.630971,0,0,0,0
0.632356,0,0,0,0
0.633964,0,0,0,0
0.635581,0,0,0,0
0.637010,0,0,0,0
0.638531,0,0,0,0
0.640071,0,0,0,0
0.641752,0,0,0,0
0.643332,0,0,0,0
0.644883,0,0,0,0
0.646433,0,0,0,0
0.647980,0,0,0,0
0.649458,0,0,0,0
0.650980,0,0,0,0
0.652531,0,0,0,0
0.654081,0,0,0,0
0.655628,0,0,0,0
0.657222,0,0,0,0
0.658772,0,0,0,0
0.660334,0,0,0,0
0.661885,0,0,0,0
0.663434,0,0,0,0
0.665029,0,0,0,0
0.666579,0,0,0,0
0.668127,0,0,0,0
0.669681,0,0,0,0
0.671242,0,0,0,0
0.672837,0,0,0,0
0.674389,0,0,0,0
0.675937,0,0,0,0
0.677487,0,0,0,0
0.679037,0,0,0,0
0.680587,0,0,0,0
0.682185,0,0,0,0
0.683725,0,0,0,0
0.685143,0,0,0,0
0.686664,0,0,0,0
0.688212,0,0,0,0
0.690048,0,0,0,0
0.692445,0,0,0,0
