elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.698302,0,0,0,0,0,0,0,0
0.699754,0,0,0,0,0,0,0,0
0.701160,0,0,0,0,0,0,0,0
0.702608,0,0,0,0,0,0,0,0
0.706039,0,0,0,0,0,0,0,0
0.707442,0,0,0,0,0,0,0,0
0.709030,0,0,0,0,0,0,0,0
0.710434,0,0,0,0,0,0,0,0
0.713275,0,0,0,0,0,0,0,0
0.714678,0,0,0,0,0,0,0,0
0.716554,0,0,0,0,0,0,0,0
0.717956,0,0,0,0,0,0,0,0
0.719413,0,0,0,0,0,0,0,0
0.720956,0,0,0,0,0,0,0,0
0.722365,0,0,0,0,0,0,0,0
0.723863,0,0,0,0,0,0,0,0
0.725269,0,0,0,0,0,0,0,0
0.726631,0,0,0,0,0,0,0,0
0.727990,0,0,0,0,0,0,0,0
0.729411,0,0,0,0,0,0,0,0
0.730772,0,0,0,0,0,0,0,0
0.732135,0,0,0,0,0,0,0,0
0.733495,0,0,0,0,0,0,0,0
0.734874,0,0,0,0,0,0,0,0
0.736284,0,0,0,0,0,0,0,0
0.737691,0,0,0,0,0,0,0,0
0.739227,0,0,0,0,0,0,0,0
0.740892,0,0,0,0,0,0,0,0
0.742463,0,0,0,0,0,0,0,0
