elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.147182,0,0,0,0
0.148554,0,0,0,0
0.149939,0,0,0,0
0.151312,0,0,0,0
0.152574,0,0,0,0
0.153947,0,0,0,0
0.155477,0,0,0,0
0.157038,0,0,0,0
0.158580,0,0,0,0
0.160085,0,0,0,0
0.161471,0,0,0,0
0.162941,0,0,0,0
0.164330,0,0,0,0
0.165716,0,0,0,0
0.167101,0,0,0,0
0.168617,0,0,0,0
0.170166,0,0,0,0
0.171730,0,0,0,0
0.173281,0,0,0,0
0.174835,0,0,0,0
0.176387,0,0,0,0
0.177936,0,0,0,0
0.179489,0,0,0,0
0.181042,0,0,0,0
0.182604,0,0,0,0
0.184160,0,0,0,0
0.185709,0,0,0,0
0.187350,0,0,0,0
0.188901,0,0,0,0
0.190451,0,0,0,0
0.191872,0,0,0,0
0.193275,0,0,0,0
0.194793,0,0,0,0
0.196401,0,0,0,0
0.197951,0,0,0,0
0.199503,0,0,0,0
0.201055,0,0,0,0
0.202603,0,0,0,0
0.204219,0,0,0,0
0.205679,0,0,0,0
0.207212,0,0,0,0
0.208755,0,0,0,0
0.210297,0,0,0,0
0.211713,0,0,0,0
0.213226,0,0,0,0
0.214630,0,0,0,0
0.216164,0,0,0,0
0.217713,0,0,0,0
0.219311,0,0,0,0
0.220863,0,0,0,0
0.222413,0,0,0,0
0.223965,0,0,0,0
0.225529,0,0,0,0
0.227081,0,0,0,0
0.228634,0,0,0,0
0.230183,0,0,0,0
0.231734,0,0,0,0
0.233285,0,0,0,0
0.234883,0,0,0,0
0.236448,0,0,0,0
0.237998,0,0,0,0
0.239551,0,0,0,0
0.241102,0,0,0,0
0.242651,0,0,0,0
0.244224,0,0,0,0
0.245774,0,0,0,0
0.247338,0,0,0,0
0.248889,0,0,0,0
0.250438,0,0,0,0
0.251860,0,0,0,0
0.253381,0,0,0,0
0.254934,0,0,0,0
0.256485,0,0,0,0
0.258046,0,0,0,0
0.259598,0,0,0,0
0.261149,0,0,0,0
0.262698,0,0,0,0
0.264254,0,0,0,0
