elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
1.027389,10884,0,0,0
1.029180,10890,0,0,0
1.030865,10509,0,0,0
1.032622,11208,0,0,0
1.034410,10530,0,0,0
1.036201,10539,0,0,0
1.037990,10032,0,0,0
1.039574,11064,0,0,0
1.041341,11193,0,0,0
1.043134,10458,0,0,0
1.044925,10542,0,0,0
1.046789,10551,0,0,0
1.048712,11076,0,0,0
1.050506,11253,0,0,0
1.052112,10485,0,0,0
1.053859,10569,0,0,0
1.055834,11295,0,0,0
1.057434,10518,0,0,0
1.058995,10524,0,0,0
1.060533,10560,0,0,0
1.062059,11256,0,0,0
1.063692,7911,0,0,0
1.065479,7290,0,0,0
1.067238,7641,0,0,0
1.068837,7647,0,0,0
1.070456,7692,0,0,0
1.072205,7635,0,0,0
1.074016,7692,0,0,0
1.075808,8016,0,0,0
1.077596,8007,0,0,0
1.079388,7689,0,0,0
1.081176,7662,0,0,0
1.082800,7728,0,0,0
1.084452,7767,0,0,0
1.086169,7815,0,0,0
1.087793,7377,0,0,0
1.089329,7695,0,0,0
1.090861,7950,0,0,0
1.092398,7629,0,0,0
1.093927,7764,0,0,0
1.095547,7806,0,0,0
1.097286,7332,0,0,0
1.099237,7818,0,0,0
1.100992,7605,0,0,0
1.103036,6765,0,0,0
1.104837,6984,0,0,0
1.106483,7152,0,0,0
1.109591,6753,0,0,0
1.112514,6681,0,0,0
1.114064,7578,0,0,0
1.115566,7662,0,0,0
1.117084,6861,0,0,0
1.118753,7650,0,0,0
1.120414,7806,0,0,0
1.121943,7881,0,0,0
1.123506,7893,0,0,0
1.125167,7860,0,0,0
1.126763,7827,0,0,0
1.128798,7650,0,0,0
1.130331,7875,0,0,0
1.131858,7596,0,0,0
1.133384,7719,0,0,0
1.134978,7398,0,0,0
1.136592,7857,0,0,0
1.138332,7653,0,0,0
1.140146,7884,0,0,0
1.141939,7695,0,0,0
1.143814,7722,0,0,0
1.145608,7653,0,0,0
1.147404,7914,0,0,0
1.149183,7821,0,0,0
1.150862,7554,0,0,0
1.152505,7965,0,0,0
1.154043,7881,0,0,0
1.155575,7650,0,0,0
1.157107,7848,0,0,0
1.158709,7914,0,0,0
1.160393,7644,0,0,0
1.162144,7815,0,0,0
1.163937,7677,0,0,0
1.165726,7716,0,0,0
1.167518,7647,0,0,0
1.169306,7929,0,0,0
1.171253,7965,0,0,0
1.172862,7752,0,0,0
1.174686,7935,0,0,0
1.176558,8010,0,0,0
1.178346,8004,0,0,0
1.180134,7818,0,0,0
1.181720,7713,0,0,0
1.183377,7857,0,0,0
1.185055,7842,0,0,0
1.186792,7713,0,0,0
1.188687,7683,0,0,0
1.190553,7563,0,0,0
1.192342,7953,0,0,0
1.194338,7632,0,0,0
1.196131,7695,0,0,0
1.197924,7866,0,0,0
1.199800,7752,0,0,0
1.201591,7650,0,0,0
1.203380,7431,0,0,0
1.204982,5496,0,0,0
1.206742,6261,0,0,0
1.208540,6021,0,0,0
1.210332,6330,0,0,0
1.212125,5967,0,0,0
1.213900,6030,0,0,0
1.215685,6261,0,0,0
1.217458,6306,0,0,0
1.219254,6204,0,0,0
1.221045,6168,0,0,0
1.222882,5412,0,0,0
1.224402,5397,0,0,0
1.225893,5352,0,0,0
1.227563,5316,0,0,0
1.229276,5424,0,0,0
1.231239,5925,0,0,0
1.233037,5958,0,0,0
1.234830,6270,0,0,0
1.236644,5928,0,0,0
1.238509,6225,0,0,0
1.240300,5961,0,0,0
1.242074,6249,0,0,0
1.243655,6324,0,0,0
1.245192,6318,0,0,0
1.247163,6165,0,0,0
1.249008,6309,0,0,0
1.250800,6171,0,0,0
1.252599,6201,0,0,0
1.254469,6300,0,0,0
1.256259,5451,0,0,0
1.257934,6261,0,0,0
1.259696,6300,0,0,0
1.261486,6273,0,0,0
1.263279,6300,0,0,0
1.265070,6387,0,0,0
1.266856,6267,0,0,0
1.268505,6297,0,0,0
1.270340,6288,0,0,0
