elapsed_s,RB_NEVER_COUNT,RB_BUSY_CYCLES,RB_STALL_CYCLES_HLSQ,RB_STALL_CYCLES_FIFO0_FULL,RB_STALL_CYCLES_FIFO1_FULL,RB_STALL_CYCLES_FIFO2_FULL,RB_STARVE_CYCLES_SP,RB_STARVE_CYCLES_LRZ_TILE
0.772296,0,0,0,0,0,0,0,0
0.773867,0,0,0,0,0,0,0,0
0.775441,0,0,0,0,0,0,0,0
0.777014,0,0,0,0,0,0,0,0
0.778598,0,0,0,0,0,0,0,0
0.780276,0,0,0,0,0,0,0,0
0.781849,0,0,0,0,0,0,0,0
0.783423,0,0,0,0,0,0,0,0
0.784996,0,0,0,0,0,0,0,0
0.786567,0,0,0,0,0,0,0,0
0.788140,0,0,0,0,0,0,0,0
0.789727,0,0,0,0,0,0,0,0
0.791301,0,0,0,0,0,0,0,0
0.792872,0,0,0,0,0,0,0,0
0.794444,0,0,0,0,0,0,0,0
0.796061,0,0,0,0,0,0,0,0
0.797633,0,0,0,0,0,0,0,0
0.799208,0,0,0,0,0,0,0,0
0.800795,0,0,0,0,0,0,0,0
0.802366,0,0,0,0,0,0,0,0
0.803938,0,0,0,0,0,0,0,0
0.805511,0,0,0,0,0,0,0,0
0.807085,0,0,0,0,0,0,0,0
0.808659,0,0,0,0,0,0,0,0
0.810229,0,0,0,0,0,0,0,0
0.811818,0,0,0,0,0,0,0,0
0.813391,0,0,0,0,0,0,0,0
0.814962,0,0,0,0,0,0,0,0
0.816413,0,0,0,0,0,0,0,0
0.817826,0,0,0,0,0,0,0,0
0.819408,0,0,0,0,0,0,0,0
0.820982,0,0,0,0,0,0,0,0
0.822567,0,0,0,0,0,0,0,0
0.824140,0,0,0,0,0,0,0,0
0.825712,0,0,0,0,0,0,0,0
0.827327,0,0,0,0,0,0,0,0
0.828901,0,0,0,0,0,0,0,0
0.830471,0,0,0,0,0,0,0,0
0.832044,0,0,0,0,0,0,0,0
0.833631,0,0,0,0,0,0,0,0
0.835248,0,0,0,0,0,0,0,0
0.836822,0,0,0,0,0,0,0,0
0.838393,0,0,0,0,0,0,0,0
0.839965,0,0,0,0,0,0,0,0
0.841537,0,0,0,0,0,0,0,0
0.843153,0,0,0,0,0,0,0,0
0.844741,0,0,0,0,0,0,0,0
0.846313,0,0,0,0,0,0,0,0
0.847884,0,0,0,0,0,0,0,0
0.849457,0,0,0,0,0,0,0,0
0.851073,0,0,0,0,0,0,0,0
0.852647,0,0,0,0,0,0,0,0
0.854218,0,0,0,0,0,0,0,0
0.855807,0,0,0,0,0,0,0,0
0.857380,0,0,0,0,0,0,0,0
0.858993,0,0,0,0,0,0,0,0
0.860496,0,0,0,0,0,0,0,0
0.861908,0,0,0,0,0,0,0,0
0.863448,0,0,0,0,0,0,0,0
0.865020,0,0,0,0,0,0,0,0
0.866604,0,0,0,0,0,0,0,0
0.868281,0,0,0,0,0,0,0,0
0.869854,0,0,0,0,0,0,0,0
0.871428,0,0,0,0,0,0,0,0
0.873002,0,0,0,0,0,0,0,0
0.874573,0,0,0,0,0,0,0,0
0.876191,0,0,0,0,0,0,0,0
0.877778,0,0,0,0,0,0,0,0
0.879352,0,0,0,0,0,0,0,0
0.880924,0,0,0,0,0,0,0,0
0.882494,0,0,0,0,0,0,0,0
0.884110,0,0,0,0,0,0,0,0
0.885683,0,0,0,0,0,0,0,0
0.887255,0,0,0,0,0,0,0,0
0.888841,0,0,0,0,0,0,0,0
0.890410,0,0,0,0,0,0,0,0
0.891981,0,0,0,0,0,0,0,0
0.893552,0,0,0,0,0,0,0,0
0.895125,0,0,0,0,0,0,0,0
0.896695,0,0,0,0,0,0,0,0
0.898265,0,0,0,0,0,0,0,0
0.899745,0,0,0,0,0,0,0,0
0.901213,0,0,0,0,0,0,0,0
0.902655,0,0,0,0,0,0,0,0
