elapsed_s,VPC_NEVER_COUNT,VPC_FE_BUSY_CYCLES,VPC_FE_WORKING_CYCLES,VPC_FE_STALL_CYCLES_VFD_WACK,VPC_FE_STARVE_CYCLES_SP,VPC_FE_PC_PRIMITIVES
0.315463,0,0,0,0,0,0
0.316813,0,0,0,0,0,0
0.318230,0,0,0,0,0,0
0.319647,0,0,0,0,0,0
0.321071,0,0,0,0,0,0
0.322489,0,0,0,0,0,0
0.323798,0,0,0,0,0,0
0.325216,0,0,0,0,0,0
0.326633,0,0,0,0,0,0
0.328050,0,0,0,0,0,0
0.329467,0,0,0,0,0,0
0.330884,0,0,0,0,0,0
0.332211,0,0,0,0,0,0
0.333645,0,0,0,0,0,0
0.335038,0,0,0,0,0,0
0.337136,0,0,0,0,0,0
0.338559,0,0,0,0,0,0
0.339956,0,0,0,0,0,0
0.341355,0,0,0,0,0,0
0.342761,0,0,0,0,0,0
0.344271,0,1968,516,0,0,0
0.347616,0,0,0,0,0,0
0.349094,0,0,0,0,0,0
0.350485,0,0,0,0,0,0
0.351880,0,0,0,0,0,0
0.353291,0,0,0,0,0,0
0.354681,0,0,0,0,0,0
0.356230,0,11874,7737,0,0,0
0.357592,0,0,0,0,0,0
0.358962,0,0,0,0,0,0
0.360323,0,0,0,0,0,0
0.361684,0,0,0,0,0,0
0.363039,0,0,0,0,0,0
0.364435,0,0,0,0,0,0
0.365904,0,0,0,0,0,0
0.367297,0,0,0,0,0,0
0.370147,0,0,0,0,0,0
0.371539,0,0,0,0,0,0
0.376548,0,0,0,0,0,0
0.377956,0,0,0,0,0,0
