elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.463069,0,0,0,0,0,0,0,0,0,0,0
0.464240,0,0,0,0,0,0,0,0,0,0,0
0.465678,0,0,0,0,0,0,0,0,0,0,0
0.467073,0,0,0,0,0,0,0,0,0,0,0
0.468476,0,0,0,0,0,0,0,0,0,0,0
0.469888,0,0,0,0,0,0,0,0,0,0,0
0.471258,0,0,0,0,0,0,0,0,0,0,0
0.472628,0,0,0,0,0,0,0,0,0,0,0
0.474070,0,0,0,0,0,0,0,0,0,0,0
0.475590,0,0,0,0,0,0,0,0,0,0,0
0.476992,0,0,0,0,0,0,0,0,0,0,0
0.478388,0,0,0,0,0,0,0,0,0,0,0
0.479774,0,0,0,0,0,0,0,0,0,0,0
0.481158,0,0,0,0,0,0,0,0,0,0,0
0.482927,0,0,0,0,0,0,0,0,0,0,0
0.484377,0,0,0,0,0,0,0,0,0,0,0
0.485860,0,0,0,0,0,0,0,0,0,0,0
0.487307,0,0,0,0,0,0,0,0,0,0,0
0.488960,0,0,0,0,0,0,0,0,0,0,0
0.490383,0,0,0,0,0,0,0,0,0,0,0
0.491805,0,0,0,0,0,0,0,0,0,0,0
0.493222,0,0,0,0,0,0,0,0,0,0,0
0.494764,0,0,0,0,0,0,0,0,0,0,0
0.496178,0,0,0,0,0,0,0,0,0,0,0
0.497631,0,0,0,0,0,0,0,0,0,0,0
0.499045,0,0,0,0,0,0,0,0,0,0,0
0.500514,0,0,0,0,0,0,0,0,0,0,0
0.501940,0,0,0,0,0,0,0,0,0,0,0
0.503432,0,0,0,0,0,0,0,0,0,0,0
0.504855,0,0,0,0,0,0,0,0,0,0,0
0.506275,0,0,0,0,0,0,0,0,0,0,0
0.507727,0,0,0,0,0,0,0,0,0,0,0
0.509149,0,0,0,0,0,0,0,0,0,0,0
0.510567,0,0,0,0,0,0,0,0,0,0,0
0.511985,0,0,0,0,0,0,0,0,0,0,0
0.513403,0,0,0,0,0,0,0,0,0,0,0
0.515070,0,0,0,0,0,0,0,0,0,0,0
0.516530,0,0,0,0,0,0,0,0,0,0,0
0.518009,0,0,0,0,0,0,0,0,0,0,0
0.519435,0,0,0,0,0,0,0,0,0,0,0
0.520856,0,0,0,0,0,0,0,0,0,0,0
0.522274,0,0,0,0,0,0,0,0,0,0,0
0.523817,0,0,0,0,0,0,0,0,0,0,0
0.525396,0,0,0,0,0,0,0,0,0,0,0
0.527067,0,0,0,0,0,0,0,0,0,0,0
0.528664,0,0,0,0,0,0,0,0,0,0,0
0.530254,0,0,0,0,0,0,0,0,0,0,0
0.531840,0,0,0,0,0,0,0,0,0,0,0
0.533428,0,0,0,0,0,0,0,0,0,0,0
0.535021,0,0,0,0,0,0,0,0,0,0,0
0.536606,0,0,0,0,0,0,0,0,0,0,0
0.538195,0,0,0,0,0,0,0,0,0,0,0
0.539672,0,0,0,0,0,0,0,0,0,0,0
0.541230,0,0,0,0,0,0,0,0,0,0,0
0.542822,0,0,0,0,0,0,0,0,0,0,0
0.544407,0,0,0,0,0,0,0,0,0,0,0
0.545996,0,0,0,0,0,0,0,0,0,0,0
0.547584,0,0,0,0,0,0,0,0,0,0,0
0.549212,0,0,0,0,0,0,0,0,0,0,0
0.550894,0,0,0,0,0,0,0,0,0,0,0
0.552482,0,0,0,0,0,0,0,0,0,0,0
0.554071,0,0,0,0,0,0,0,0,0,0,0
0.555659,0,0,0,0,0,0,0,0,0,0,0
0.557244,0,0,0,0,0,0,0,0,0,0,0
0.558711,0,0,0,0,0,0,0,0,0,0,0
0.560310,0,0,0,0,0,0,0,0,0,0,0
0.561911,0,0,0,0,0,0,0,0,0,0,0
0.563499,0,0,0,0,0,0,0,0,0,0,0
0.565128,0,0,0,0,0,0,0,0,0,0,0
0.566791,0,0,0,0,0,0,0,0,0,0,0
0.568378,0,0,0,0,0,0,0,0,0,0,0
0.569965,0,0,0,0,0,0,0,0,0,0,0
0.571550,0,0,0,0,0,0,0,0,0,0,0
0.573023,0,0,0,0,0,0,0,0,0,0,0
0.574581,0,0,0,0,0,0,0,0,0,0,0
0.576169,0,0,0,0,0,0,0,0,0,0,0
0.577759,0,0,0,0,0,0,0,0,0,0,0
0.579347,0,0,0,0,0,0,0,0,0,0,0
0.580974,0,0,0,0,0,0,0,0,0,0,0
0.582562,0,0,0,0,0,0,0,0,0,0,0
0.584161,0,0,0,0,0,0,0,0,0,0,0
0.585749,0,0,0,0,0,0,0,0,0,0,0
0.587334,0,0,0,0,0,0,0,0,0,0,0
0.588918,0,0,0,0,0,0,0,0,0,0,0
0.591243,0,0,0,0,0,0,0,0,0,0,0
0.592674,0,0,0,0,0,0,0,0,0,0,0
0.594104,0,0,0,0,0,0,0,0,0,0,0
0.595521,0,0,0,0,0,0,0,0,0,0,0
0.596979,0,0,0,0,0,0,0,0,0,0,0
0.598397,0,0,0,0,0,0,0,0,0,0,0
0.599815,0,0,0,0,0,0,0,0,0,0,0
0.601230,0,0,0,0,0,0,0,0,0,0,0
0.602720,0,0,0,0,0,0,0,0,0,0,0
0.604145,0,0,0,0,0,0,0,0,0,0,0
0.605565,0,0,0,0,0,0,0,0,0,0,0
0.606981,0,0,0,0,0,0,0,0,0,0,0
0.608397,0,0,0,0,0,0,0,0,0,0,0
0.609812,0,0,0,0,0,0,0,0,0,0,0
0.611228,0,0,0,0,0,0,0,0,0,0,0
0.612691,0,0,0,0,0,0,0,0,0,0,0
0.614081,0,0,0,0,0,0,0,0,0,0,0
0.615477,0,0,0,0,0,0,0,0,0,0,0
0.616866,0,0,0,0,0,0,0,0,0,0,0
0.618254,0,0,0,0,0,0,0,0,0,0,0
0.619643,0,0,0,0,0,0,0,0,0,0,0
0.621030,0,0,0,0,0,0,0,0,0,0,0
0.622417,0,0,0,0,0,0,0,0,0,0,0
0.623807,0,0,0,0,0,0,0,0,0,0,0
0.625196,0,0,0,0,0,0,0,0,0,0,0
0.626665,0,0,0,0,0,0,0,0,0,0,0
0.628054,0,0,0,0,0,0,0,0,0,0,0
0.629480,0,0,0,0,0,0,0,0,0,0,0
0.630834,0,0,0,0,0,0,0,0,0,0,0
0.632226,0,0,0,0,0,0,0,0,0,0,0
0.633615,0,0,0,0,0,0,0,0,0,0,0
0.635004,0,0,0,0,0,0,0,0,0,0,0
0.636392,0,0,0,0,0,0,0,0,0,0,0
0.637834,0,0,0,0,0,0,0,0,0,0,0
0.639223,0,0,0,0,0,0,0,0,0,0,0
0.640503,0,0,0,0,0,0,0,0,0,0,0
0.641891,0,0,0,0,0,0,0,0,0,0,0
0.643226,0,0,0,0,0,0,0,0,0,0,0
0.644668,0,0,0,0,0,0,0,0,0,0,0
0.646110,0,0,0,0,0,0,0,0,0,0,0
0.647499,0,0,0,0,0,0,0,0,0,0,0
0.648892,0,0,0,0,0,0,0,0,0,0,0
0.650330,0,0,0,0,0,0,0,0,0,0,0
0.651611,0,0,0,0,0,0,0,0,0,0,0
0.652999,0,0,0,0,0,0,0,0,0,0,0
0.654436,0,0,0,0,0,0,0,0,0,0,0
