elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.225312,0,0,0,0,0,0,0,0
0.226898,0,0,0,0,0,0,0,0
0.228469,0,0,0,0,0,0,0,0
0.230042,0,0,0,0,0,0,0,0
0.231614,0,0,0,0,0,0,0,0
0.233184,0,0,0,0,0,0,0,0
0.234800,0,0,0,0,0,0,0,0
0.236371,0,0,0,0,0,0,0,0
0.237954,0,0,0,0,0,0,0,0
0.239388,0,0,0,0,0,0,0,0
0.240929,0,0,0,0,0,0,0,0
0.242502,0,0,0,0,0,0,0,0
0.244074,0,0,0,0,0,0,0,0
0.245643,0,0,0,0,0,0,0,0
0.247261,0,0,0,0,0,0,0,0
0.248837,0,0,0,0,0,0,0,0
0.250279,0,0,0,0,0,0,0,0
0.251820,0,0,0,0,0,0,0,0
0.253389,0,0,0,0,0,0,0,0
0.255004,0,0,0,0,0,0,0,0
0.256576,0,0,0,0,0,0,0,0
0.258148,0,0,0,0,0,0,0,0
0.259734,0,0,0,0,0,0,0,0
0.261222,0,0,0,0,0,0,0,0
0.262801,0,0,0,0,0,0,0,0
0.264372,0,0,0,0,0,0,0,0
0.265941,0,0,0,0,0,0,0,0
0.267517,0,0,0,0,0,0,0,0
0.269088,0,0,0,0,0,0,0,0
0.270717,0,0,0,0,0,0,0,0
0.272290,0,0,0,0,0,0,0,0
0.273859,0,0,0,0,0,0,0,0
0.275435,0,0,0,0,0,0,0,0
0.277004,0,0,0,0,0,0,0,0
0.278577,0,0,0,0,0,0,0,0
0.280147,0,0,0,0,0,0,0,0
0.281732,0,0,0,0,0,0,0,0
0.283307,0,0,0,0,0,0,0,0
0.284877,0,0,0,0,0,0,0,0
0.286494,0,0,0,0,0,0,0,0
0.288066,0,0,0,0,0,0,0,0
0.289635,0,0,0,0,0,0,0,0
0.291158,0,0,0,0,0,0,0,0
