elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.766664,0,0,0,0
0.768216,0,0,0,0
0.769764,0,0,0,0
0.771368,0,0,0,0
0.772917,0,0,0,0
0.774468,0,0,0,0
0.776019,0,0,0,0
0.777624,0,0,0,0
0.779247,0,0,0,0
0.780639,0,0,0,0
0.782157,0,0,0,0
0.783708,0,0,0,0
0.785257,0,0,0,0
0.786808,0,0,0,0
0.788370,0,0,0,0
0.789923,0,0,0,0
0.791474,0,0,0,0
0.793023,0,0,0,0
0.794576,0,0,0,0
0.796128,0,0,0,0
0.797676,0,0,0,0
0.799245,0,0,0,0
0.800794,0,0,0,0
0.802347,0,0,0,0
0.803898,0,0,0,0
0.805447,0,0,0,0
0.807058,0,0,0,0
0.808608,0,0,0,0
0.810215,0,0,0,0
0.811767,0,0,0,0
0.813316,0,0,0,0
0.814866,0,0,0,0
0.816416,0,0,0,0
0.817970,0,0,0,0
0.819520,0,0,0,0
0.821082,0,0,0,0
0.822633,0,0,0,0
0.824185,0,0,0,0
0.825776,0,0,0,0
0.827342,0,0,0,0
0.828734,0,0,0,0
0.830253,0,0,0,0
0.831816,0,0,0,0
0.833365,0,0,0,0
0.834914,0,0,0,0
0.836464,0,0,0,0
0.838016,0,0,0,0
0.839566,0,0,0,0
0.841115,0,0,0,0
0.842680,0,0,0,0
0.844231,0,0,0,0
0.845846,0,0,0,0
0.847460,0,0,0,0
0.849007,0,0,0,0
0.850557,0,0,0,0
0.852105,0,0,0,0
0.853665,0,0,0,0
0.855219,0,0,0,0
0.856766,0,0,0,0
0.858359,0,0,0,0
0.859909,0,0,0,0
0.861457,0,0,0,0
0.863065,0,0,0,0
0.864626,0,0,0,0
0.866177,0,0,0,0
0.867726,0,0,0,0
0.869273,0,0,0,0
0.870822,0,0,0,0
0.872371,0,0,0,0
0.873964,0,0,0,0
0.875526,0,0,0,0
0.877073,0,0,0,0
0.878624,0,0,0,0
0.880173,0,0,0,0
0.881720,0,0,0,0
0.883273,0,0,0,0
0.884713,0,0,0,0
0.886172,0,0,0,0
0.887561,0,0,0,0
0.888942,0,0,0,0
0.890344,0,0,0,0
0.892242,0,0,0,0
0.894027,0,0,0,0
0.896582,0,0,0,0
0.898046,0,0,0,0
0.899428,0,0,0,0
0.900808,0,0,0,0
0.902190,0,0,0,0
0.903576,0,0,0,0
0.905089,0,0,0,0
0.906641,0,0,0,0
0.908204,0,0,0,0
0.909750,0,0,0,0
0.911371,0,0,0,0
0.912919,0,0,0,0
0.914470,0,0,0,0
0.916018,0,0,0,0
0.917565,0,0,0,0
0.919131,0,0,0,0
0.920677,0,0,0,0
0.922269,0,0,0,0
0.923817,0,0,0,0
0.925243,0,0,0,0
0.926766,0,0,0,0
0.928315,0,0,0,0
0.929879,0,0,0,0
0.931429,0,0,0,0
0.932977,0,0,0,0
0.934528,0,0,0,0
0.936076,0,0,0,0
0.937663,0,0,0,0
0.939194,0,0,0,0
0.940722,0,0,0,0
0.942272,0,0,0,0
0.943820,0,0,0,0
0.945365,0,0,0,0
0.946914,0,0,0,0
0.948464,0,0,0,0
0.950014,0,0,0,0
0.951577,0,0,0,0
0.953125,0,0,0,0
0.954676,0,0,0,0
0.956226,0,0,0,0
0.957773,0,0,0,0
0.960091,0,0,0,0
0.961501,0,0,0,0
0.962941,0,0,0,0
0.964335,0,0,0,0
0.965722,0,0,0,0
0.967113,0,0,0,0
0.968500,0,0,0,0
0.970116,0,0,0,0
0.971682,0,0,0,0
0.973231,0,0,0,0
