elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.676404,0,0,0,0,0,0
0.677770,0,0,0,0,0,0
0.679132,0,0,0,0,0,0
0.680489,0,0,0,0,0,0
0.681843,0,0,0,0,0,0
0.683242,0,0,0,0,0,0
0.684626,0,0,0,0,0,0
0.686301,0,0,0,0,0,0
0.687712,0,0,0,0,0,0
0.689100,0,0,0,0,0,0
0.694181,0,0,0,0,0,0
0.695590,0,0,0,0,0,0
0.696983,0,0,0,0,0,0
0.698399,0,0,0,0,0,0
0.699879,0,0,0,0,0,0
0.701270,0,0,0,0,0,0
0.702680,0,0,0,0,0,0
0.704077,0,0,0,0,0,0
0.705429,0,0,0,0,0,0
0.706797,0,0,0,0,0,0
0.708148,0,0,0,0,0,0
0.709495,0,0,0,0,0,0
0.710841,0,0,0,0,0,0
0.712189,0,0,0,0,0,0
0.713536,0,0,0,0,0,0
0.714882,0,0,0,0,0,0
0.716360,0,0,0,0,0,0
0.717825,0,0,0,0,0,0
0.719447,0,0,0,0,0,0
0.721005,0,0,0,0,0,0
0.722568,0,0,0,0,0,0
0.724129,0,0,0,0,0,0
0.725688,0,0,0,0,0,0
0.727249,0,0,0,0,0,0
0.728821,0,0,0,0,0,0
0.730385,0,0,0,0,0,0
0.731989,0,0,0,0,0,0
0.733548,0,0,0,0,0,0
0.735109,0,0,0,0,0,0
0.736669,0,0,0,0,0,0
0.738231,0,0,0,0,0,0
0.739805,0,0,0,0,0,0
0.741365,0,0,0,0,0,0
0.742927,0,0,0,0,0,0
0.744485,0,0,0,0,0,0
0.746276,0,0,0,0,0,0
0.747700,0,0,0,0,0,0
0.749101,0,0,0,0,0,0
0.750643,0,0,0,0,0,0
0.752195,0,0,0,0,0,0
0.753745,0,0,0,0,0,0
0.755301,0,0,0,0,0,0
0.756855,0,0,0,0,0,0
0.758283,0,0,0,0,0,0
0.759814,0,0,0,0,0,0
0.761386,0,0,0,0,0,0
0.762948,0,0,0,0,0,0
0.764510,0,0,0,0,0,0
0.766070,0,0,0,0,0,0
0.767673,0,0,0,0,0,0
0.769232,0,0,0,0,0,0
0.770794,0,0,0,0,0,0
0.772241,0,0,0,0,0,0
0.773772,0,0,0,0,0,0
0.775410,0,0,0,0,0,0
0.776969,0,0,0,0,0,0
0.778532,0,0,0,0,0,0
0.780135,0,0,0,0,0,0
0.781694,0,0,0,0,0,0
0.783138,0,0,0,0,0,0
0.784554,0,0,0,0,0,0
0.785959,0,0,0,0,0,0
0.787455,0,0,0,0,0,0
0.788846,0,0,0,0,0,0
0.790299,0,0,0,0,0,0
0.791690,0,0,0,0,0,0
0.793078,0,0,0,0,0,0
0.794477,0,0,0,0,0,0
0.795910,0,0,0,0,0,0
0.797301,0,0,0,0,0,0
0.798691,0,0,0,0,0,0
0.800080,0,0,0,0,0,0
0.801469,0,0,0,0,0,0
0.802855,0,0,0,0,0,0
0.804244,0,0,0,0,0,0
0.805640,0,0,0,0,0,0
0.807028,0,0,0,0,0,0
0.808417,0,0,0,0,0,0
0.809805,0,0,0,0,0,0
0.811264,0,0,0,0,0,0
0.812701,0,0,0,0,0,0
0.814065,0,0,0,0,0,0
0.815459,0,0,0,0,0,0
0.816828,0,0,0,0,0,0
0.818191,0,0,0,0,0,0
0.819555,0,0,0,0,0,0
0.820919,0,0,0,0,0,0
0.822283,0,0,0,0,0,0
0.823647,0,0,0,0,0,0
