elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.386511,0,0,0,0,0,0
0.387895,0,0,0,0,0,0
0.389247,0,0,0,0,0,0
0.390596,0,0,0,0,0,0
0.391995,0,0,0,0,0,0
0.393343,0,0,0,0,0,0
0.394750,0,0,0,0,0,0
0.396116,0,0,0,0,0,0
0.397468,0,0,0,0,0,0
0.398874,0,0,0,0,0,0
0.400215,0,0,0,0,0,0
0.401605,0,0,0,0,0,0
0.402951,0,0,0,0,0,0
0.404296,0,0,0,0,0,0
0.405686,0,0,0,0,0,0
0.407080,0,0,0,0,0,0
0.408397,0,0,0,0,0,0
0.409778,0,0,0,0,0,0
0.411100,0,0,0,0,0,0
0.412419,0,0,0,0,0,0
0.413738,0,0,0,0,0,0
0.415054,0,0,0,0,0,0
0.416368,0,0,0,0,0,0
0.417734,0,0,0,0,0,0
0.419107,0,0,0,0,0,0
0.420440,0,0,0,0,0,0
0.421761,0,0,0,0,0,0
0.423116,0,0,0,0,0,0
0.424417,0,0,0,0,0,0
0.425768,0,0,0,0,0,0
0.427072,0,0,0,0,0,0
0.428377,0,0,0,0,0,0
0.429682,0,0,0,0,0,0
0.430990,0,0,0,0,0,0
0.432293,0,0,0,0,0,0
0.433596,0,0,0,0,0,0
0.434907,0,0,0,0,0,0
0.436294,0,0,0,0,0,0
0.437739,0,0,0,0,0,0
0.439071,0,0,0,0,0,0
0.440441,0,0,0,0,0,0
0.441813,0,0,0,0,0,0
0.443182,0,0,0,0,0,0
0.444549,0,0,0,0,0,0
0.445918,0,0,0,0,0,0
0.447342,0,0,0,0,0,0
0.448767,0,0,0,0,0,0
0.450089,0,0,0,0,0,0
0.451400,0,0,0,0,0,0
0.452823,0,0,0,0,0,0
0.454255,0,0,0,0,0,0
0.455673,0,0,0,0,0,0
0.457091,0,0,0,0,0,0
0.458467,0,0,0,0,0,0
0.459850,0,0,0,0,0,0
0.461209,0,0,0,0,0,0
0.462575,0,0,1590,315,0,0
0.464066,0,0,0,0,0,0
0.465424,0,0,0,0,0,0
0.466780,0,0,0,0,0,0
0.468131,0,0,0,0,0,0
0.469484,0,0,0,0,0,0
0.470856,0,0,0,0,0,0
0.472257,0,0,5232,1227,0,0
0.473512,0,0,1272,558,0,0
