elapsed_s,LRZ_NEVER_COUNT,LRZ_BUSY_CYCLES,LRZ_STARVE_CYCLES_RAS
0.414836,0,0,1633369
0.416185,0,0,1809466
0.417680,0,0,1634738
0.419029,0,0,1633764
0.420386,0,0,1645897
0.421746,0,0,1684046
0.423122,0,0,1616240
0.424459,0,0,1620145
0.425796,0,0,1618713
0.427132,0,0,1617485
0.428467,0,0,1614560
0.429800,0,0,1616158
0.431135,0,0,1615329
0.432641,0,0,1823878
0.433975,0,0,1615303
0.435308,0,0,1615693
0.436644,0,0,1617179
0.438007,0,0,1756117
0.439415,0,0,1702500
0.440821,0,0,1704967
0.442228,0,0,1702939
0.443639,0,0,1708840
0.445046,0,0,1711358
0.446459,0,0,1714125
0.447835,0,0,1531207
0.449146,0,0,1588703
0.450403,0,0,1649524
0.451764,0,0,1644572
0.453122,0,0,1513092
0.454375,0,0,1648720
0.455732,0,0,1643348
0.457174,0,0,1686145
0.458569,0,0,1681038
0.459952,0,0,1702566
0.461372,0,0,1910492
0.462939,0,0,2121529
0.466541,0,0,3916126
0.467920,0,0,1672925
0.469302,0,0,1672060
0.470721,0,0,1718029
0.472100,18882,18917,1803367
0.473624,0,0,1693665
0.475018,0,0,1685199
0.476419,0,0,1694359
0.477799,0,0,1672427
0.479178,0,0,1670402
0.480606,0,0,1769952
0.482019,0,0,1663488
0.483390,0,0,1660279
0.484763,0,0,1667390
0.486151,0,0,1678117
0.487525,0,0,1664384
0.492410,0,0,5920846
0.493791,0,0,1670199
0.495169,0,0,1670842
0.496580,0,0,1709061
0.497959,0,0,1665876
0.499554,0,0,1933017
0.501530,0,0,2574465
0.503061,0,0,1675348
0.504443,0,0,1672527
0.505822,0,0,1669019
0.507219,0,0,1692766
0.508652,0,0,1767968
0.510028,0,0,1636966
0.511365,0,0,1619117
0.512701,0,0,1616696
0.514036,0,0,1616115
0.515370,0,0,1615278
0.516705,0,0,1618076
0.518184,0,0,1832018
0.519739,0,0,1867813
0.521283,0,0,1871326
0.522828,0,0,1870177
0.524374,0,0,1871680
0.525917,0,0,1869405
0.527461,0,0,1869649
0.529020,0,0,1889296
0.530564,0,0,1868063
0.532106,0,0,1872724
0.533653,0,0,1922519
0.535240,0,0,1867255
0.536786,24,0,1873612
0.538330,0,0,1869064
0.539760,0,0,1705411
0.541275,0,0,1861394
0.542818,0,0,1869356
0.544432,0,0,2025432
0.546034,0,0,1865503
0.547453,0,0,1698655
0.548972,0,0,1862846
0.550573,0,0,1937252
0.552114,0,0,1872127
0.553662,0,0,1869052
0.555205,0,0,1867801
0.556750,0,0,1873047
0.558293,0,0,1868663
0.559836,0,0,1866641
0.561263,0,0,1734756
0.562810,14,0,1868432
0.564417,0,0,1943107
0.566003,0,0,1924359
0.567546,0,0,1867997
0.569091,0,0,1870515
0.570507,0,0,1689131
0.572033,0,0,1873378
0.573625,4,0,1929987
0.575169,0,0,1868090
0.576755,0,0,1922231
0.578312,0,0,2659106
0.580804,0,0,2287781
0.582306,0,0,1750128
0.583690,0,0,1671156
0.585073,0,0,1677818
0.586456,0,0,1669719
0.587831,0,0,1662814
0.589209,0,0,1673665
0.590588,0,0,1663887
0.591959,0,0,1661031
0.593343,0,0,1676820
0.594716,0,0,1661543
0.596087,0,0,1836665
0.597637,0,0,1761828
0.599050,0,0,1633077
0.600479,0,0,1788816
0.601876,0,0,1634542
0.603225,0,0,1633161
0.604581,0,0,1641426
0.605930,0,0,1633192
0.607278,0,0,1633046
0.608627,4,0,1633796
0.609976,0,0,1633756
0.611325,0,0,1632051
0.612673,0,0,1632735
0.614058,0,0,1776295
0.615474,0,0,1710506
0.616881,0,0,1702792
0.618287,0,0,1701386
0.619692,0,0,1701772
0.621097,0,0,1702707
0.622509,0,0,1708730
0.623914,0,0,1571723
0.625212,0,0,1701933
0.626621,0,0,1707060
0.628027,0,0,1724301
0.629465,0,0,1726332
0.630922,0,0,1702581
0.632317,0,0,1700315
0.633723,0,0,1681916
0.635436,0,0,2097400
0.637189,0,0,2670037
0.639025,0,0,1653876
0.640452,0,0,1790573
0.641890,0,0,1677779
0.643273,0,0,1669676
0.644678,0,0,1708987
0.646110,0,0,1729033
0.647511,0,0,1692799
