elapsed_s,PC_US_BV_STALLED_BY_UCHE_FEEDBACK,PC_US_VSD_RARB_DVIZ_FULL,PC_US_VSD_RARB_PVIZ_FULL,PC_US_VSD_RARB_TVIZ_FULL,PC_US_DP0_RARB_FULL,PC_US_DP1_RARB_FULL,PC_US_DP0_LIVE_PRIM,PC_US_DP1_LIVE_PRIM
0.267252,0,0,0,0,0,0,0,0
0.268822,0,0,0,0,0,0,0,0
0.270396,0,0,0,0,0,0,0,0
0.271968,0,0,0,0,0,0,0,0
0.273538,0,0,0,0,0,0,0,0
0.275154,0,0,0,0,0,0,0,0
0.276724,0,0,0,0,0,0,0,0
0.278310,0,0,0,0,0,0,0,0
0.279882,0,0,0,0,0,0,0,0
0.281453,0,0,0,0,0,0,0,0
0.283076,0,0,0,0,0,0,0,0
0.284647,0,0,0,0,0,0,0,0
0.286222,0,0,0,0,0,0,0,0
0.287794,0,0,0,0,0,0,0,0
0.289375,0,0,0,0,0,0,0,0
0.291070,0,0,0,0,0,0,0,0
0.292643,0,0,0,0,0,0,0,0
0.294218,0,0,0,0,0,0,0,0
0.295791,0,0,0,0,0,0,0,0
0.297361,0,0,0,0,0,0,0,0
0.298981,0,0,0,0,0,0,0,0
0.300565,0,0,0,0,0,0,0,0
0.302137,0,0,0,0,0,0,0,0
0.303708,0,0,0,0,0,0,0,0
0.305278,0,0,0,0,0,0,0,0
0.306826,0,0,0,0,0,0,0,0
0.308238,0,0,0,0,0,0,0,0
0.309656,0,0,0,0,0,0,0,0
0.311080,0,0,0,0,0,0,0,0
0.312490,0,0,0,0,0,0,0,0
0.313942,0,0,0,0,0,0,0,0
0.315351,0,0,0,0,0,0,0,0
0.316888,0,0,0,0,0,0,0,0
0.318461,0,0,0,0,0,0,0,0
0.320035,0,0,0,0,0,0,0,0
0.321624,0,0,0,0,0,0,0,0
0.323199,0,0,0,0,0,0,0,0
0.324769,0,0,0,0,0,0,0,0
0.326344,0,0,0,0,0,0,0,0
0.327918,0,0,0,0,0,0,0,0
0.329490,0,0,0,0,0,0,0,0
0.331113,0,0,0,0,0,0,0,0
0.332698,0,0,0,0,0,0,0,0
0.334274,0,0,0,0,0,0,0,0
0.335848,0,0,0,0,0,0,0,0
0.337420,0,0,0,0,0,0,0,0
0.338998,0,0,0,0,0,0,0,0
0.340570,0,0,0,0,0,0,0,0
0.342146,0,0,0,0,0,0,0,0
0.343731,0,0,0,0,0,0,0,0
0.345303,0,0,0,0,0,0,0,0
0.346925,0,0,0,0,0,0,0,0
0.348497,0,0,0,0,0,0,0,0
0.350072,0,0,0,0,0,0,0,0
0.351637,0,0,0,0,0,0,0,0
0.353200,0,0,0,0,0,0,0,0
0.354744,0,0,0,0,0,0,0,0
0.356289,0,0,0,0,0,0,0,0
0.357862,0,0,0,0,0,0,0,0
0.359434,0,0,0,0,0,0,0,0
0.361006,0,0,0,0,0,0,0,0
0.362579,0,0,0,0,0,0,0,0
0.364151,0,0,0,0,0,0,0,0
0.365737,0,0,0,0,0,0,0,0
0.367310,0,0,0,0,0,0,0,0
0.368880,0,0,0,0,0,0,0,0
0.370452,0,0,0,0,0,0,0,0
0.372025,0,0,0,0,0,0,0,0
0.373598,0,0,0,0,0,0,0,0
0.375171,0,0,0,0,0,0,0,0
0.376626,0,0,0,0,0,0,0,0
0.378215,0,0,0,0,0,0,0,0
0.379788,0,0,0,0,0,0,0,0
0.381358,0,0,0,0,0,0,0,0
0.382935,0,0,0,0,0,0,0,0
0.384506,0,0,0,0,0,0,0,0
0.386080,0,0,0,0,0,0,0,0
0.387666,0,0,0,0,0,0,0,0
0.389236,0,0,0,0,0,0,0,0
0.390875,0,0,0,0,0,0,0,0
0.392447,0,0,0,0,0,0,0,0
0.394063,0,0,0,0,0,0,0,0
0.395636,0,0,0,0,0,0,0,0
0.397207,0,0,0,0,0,0,0,0
0.398844,0,0,0,0,0,0,0,0
0.400415,0,0,0,0,0,0,0,0
0.401989,0,0,0,0,0,0,0,0
0.403561,0,0,0,0,0,0,0,0
0.405131,0,0,0,0,0,0,0,0
0.406577,0,0,0,0,0,0,0,0
0.408125,0,0,0,0,0,0,0,0
0.409754,0,0,0,0,0,0,0,0
0.411326,0,0,0,0,0,0,0,0
0.412896,0,0,0,0,0,0,0,0
0.414468,0,0,0,0,0,0,0,0
0.416039,0,0,0,0,0,0,0,0
0.417612,0,0,0,0,0,0,0,0
0.419184,0,0,0,0,0,0,0,0
0.421317,0,0,0,0,0,0,0,0
0.423423,0,0,0,0,0,0,0,0
0.424876,0,0,0,0,0,0,0,0
0.426297,0,0,0,0,0,0,0,0
0.427707,0,0,0,0,0,0,0,0
0.429112,0,0,0,0,0,0,0,0
0.430521,0,0,0,0,0,0,0,0
0.431997,0,0,0,0,0,0,0,0
0.433404,0,0,0,0,0,0,0,0
0.434818,0,0,0,0,0,0,0,0
0.436231,0,0,0,0,0,0,0,0
0.439170,0,0,0,0,0,0,0,0
0.441456,0,0,0,0,0,0,0,0
0.442914,0,0,0,0,0,0,0,0
0.445024,0,0,0,0,0,0,0,0
0.446926,0,0,0,0,0,0,0,0
0.448337,0,0,0,0,0,0,0,0
0.449773,0,0,0,0,0,0,0,0
0.451176,0,0,0,0,0,0,0,0
0.452576,0,0,0,0,0,0,0,0
0.453988,0,0,0,0,0,0,0,0
0.455388,0,0,0,0,0,0,0,0
0.456789,0,0,0,0,0,0,0,0
0.458191,0,0,0,0,0,0,0,0
0.459593,0,0,0,0,0,0,0,0
0.460994,0,0,0,0,0,0,0,0
0.462397,0,0,0,0,0,0,0,0
0.463936,0,0,0,0,0,0,0,0
0.465522,0,0,0,0,0,0,0,0
0.467168,0,0,0,0,0,0,0,0
0.468738,0,0,0,0,0,0,0,0
0.470314,0,0,0,0,0,0,0,0
0.471888,0,0,0,0,0,0,0,0
0.473460,0,0,0,0,0,0,0,0
0.475101,0,0,0,0,0,0,0,0
