elapsed_s,TP_FILTER_WORKLOAD_16BIT,TP_FILTER_WORKLOAD_32BIT,TP_QUADS_RECEIVED,TP_QUADS_OFFSET,TP_QUADS_SHADOW,TP_QUADS_ARRAY,TP_QUADS_GRADIENT,TP_QUADS_1D,TP_QUADS_2D,TP_QUADS_BUFFER,TP_QUADS_3D,TP_QUADS_CUBE
0.502833,0,0,0,0,0,0,0,0,0,0,0,0
0.504218,0,0,0,0,0,0,0,0,0,0,0,0
0.505604,0,0,0,0,0,0,0,0,0,0,0,0
0.507000,0,0,0,0,0,0,0,0,0,0,0,0
0.508382,0,0,0,0,0,0,0,0,0,0,0,0
0.509850,0,0,0,0,0,0,0,0,0,0,0,0
0.511240,0,0,0,0,0,0,0,0,0,0,0,0
0.512621,0,0,0,0,0,0,0,0,0,0,0,0
0.514006,0,0,0,0,0,0,0,0,0,0,0,0
0.515387,0,0,0,0,0,0,0,0,0,0,0,0
0.516810,0,0,0,0,0,0,0,0,0,0,0,0
0.518203,0,0,0,0,0,0,0,0,0,0,0,0
0.519583,0,0,0,0,0,0,0,0,0,0,0,0
0.520965,0,0,0,0,0,0,0,0,0,0,0,0
0.522352,0,0,0,0,0,0,0,0,0,0,0,0
0.523731,0,0,0,0,0,0,0,0,0,0,0,0
0.525112,0,0,0,0,0,0,0,0,0,0,0,0
0.526491,0,0,0,0,0,0,0,0,0,0,0,0
0.527870,0,0,0,0,0,0,0,0,0,0,0,0
0.529262,0,0,0,0,0,0,0,0,0,0,0,0
0.530643,0,0,0,0,0,0,0,0,0,0,0,0
0.532155,0,0,0,0,0,0,0,0,0,0,0,0
0.533765,0,0,0,0,0,0,0,0,0,0,0,0
0.535360,0,0,0,0,0,0,0,0,0,0,0,0
0.536954,0,0,0,0,0,0,0,0,0,0,0,0
