elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.193848,0,0,0,0,886182,0
0.195343,0,0,0,0,1004169,0
0.196889,0,0,0,0,879393,0
0.198426,0,0,0,0,763644,0
0.199879,0,0,0,0,868812,0
0.201356,0,0,0,0,899724,0
0.202847,0,0,0,0,874254,0
0.204326,0,0,0,0,893520,0
0.205819,0,0,0,0,886809,0
0.207361,0,0,0,0,945039,0
0.208876,0,0,0,0,880053,0
0.210370,0,0,0,0,873480,0
0.212055,0,0,0,0,917298,0
0.213779,0,0,0,0,918507,0
0.215520,0,0,0,0,921915,0
0.217253,0,0,0,0,908424,0
0.218974,0,0,0,0,914796,0
0.220831,0,0,0,0,990258,0
0.222412,0,0,0,0,1027794,0
0.224102,0,0,0,0,791442,0
0.226085,0,0,0,0,1038486,0
0.227654,0,0,0,0,911436,0
0.229272,0,0,0,0,991773,0
0.230831,0,0,0,0,848442,0
0.232319,0,0,0,0,813060,0
0.234015,0,0,0,0,1285482,0
0.235841,0,0,0,0,826065,0
0.237340,0,0,0,0,1082292,0
0.238976,0,0,0,0,798180,0
0.240983,0,0,0,0,1056408,0
0.242705,0,0,0,0,2222916,0
0.245039,0,0,0,0,826194,0
0.246613,0,0,0,0,766737,0
0.248052,0,0,0,0,747882,0
0.249484,0,0,0,0,753903,0
0.250927,0,0,0,0,756444,0
0.252442,0,0,0,0,903762,0
0.253957,0,0,0,0,753705,0
0.255575,0,0,0,0,731121,0
0.256986,0,0,0,0,728970,0
0.258393,0,0,0,0,728109,0
0.259801,0,0,0,0,729282,0
0.261211,0,0,0,0,730413,0
0.262671,0,0,0,0,753669,0
0.264087,0,0,0,0,711288,0
0.265484,0,0,0,0,710433,0
0.266879,0,0,0,0,710994,0
0.268273,0,0,0,0,712143,0
0.269671,0,0,0,0,710967,0
0.271109,0,0,0,0,1091163,0
0.272867,0,0,0,0,891795,0
0.274462,0,0,0,0,715509,0
0.275958,0,0,0,0,814398,0
0.277442,0,0,0,0,811170,0
0.278927,0,0,0,0,891072,0
0.280480,0,0,0,0,935922,0
0.282122,0,0,0,0,825390,0
0.283666,0,0,0,0,806613,0
0.285170,0,0,0,0,802269,0
