elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.342429,0,0,0,0,0,0
0.343923,0,0,0,0,0,0
0.345479,0,0,0,0,0,0
0.347145,0,0,0,0,0,0
0.348857,0,0,0,0,0,0
0.350340,0,0,0,0,0,0
0.352011,0,0,0,0,0,0
0.353569,0,0,0,0,0,0
0.355258,0,0,0,0,0,0
0.356992,0,0,0,0,0,0
0.358721,0,0,0,0,0,0
0.360511,0,0,0,0,0,0
0.362375,0,0,0,0,0,0
0.364119,0,0,0,0,0,0
0.365851,0,0,0,0,0,0
0.367581,0,0,0,0,0,0
0.369316,0,0,0,0,0,0
0.371031,0,0,0,0,0,0
0.372745,0,0,0,0,0,0
0.374311,0,0,0,0,0,0
0.375813,0,0,0,0,0,0
0.377369,0,0,0,0,0,0
0.378860,0,0,0,0,0,0
0.380348,0,0,0,0,0,0
0.381836,0,0,0,0,0,0
0.383516,0,0,0,0,0,0
0.385264,0,0,0,0,0,0
0.386988,0,0,0,0,0,0
0.388712,0,0,0,0,0,0
0.390444,0,0,0,0,0,0
0.392236,0,0,0,0,0,0
0.393965,0,0,0,0,0,0
0.395527,0,0,0,0,0,0
0.397218,0,0,0,0,0,0
0.398948,0,0,0,0,0,0
0.400735,0,0,0,0,0,0
0.402282,0,0,0,0,0,0
0.403968,0,0,0,0,0,0
0.405717,0,0,0,0,0,0
0.407431,0,0,0,0,0,0
0.409280,0,0,0,0,0,0
0.410823,0,0,0,0,0,0
0.412374,0,0,0,0,0,0
0.414053,0,0,0,0,0,0
0.415795,0,0,0,0,0,0
0.417410,0,0,0,0,0,0
0.419101,0,0,0,0,0,0
0.420822,0,0,0,0,0,0
0.422372,0,0,0,0,0,0
0.424051,0,0,0,0,0,0
0.425583,0,0,0,0,0,0
0.427287,0,0,0,0,0,0
0.429030,0,0,0,0,0,0
0.430787,0,0,0,0,0,0
0.432350,0,0,0,0,0,0
0.433880,0,0,0,0,0,0
0.435447,0,0,0,0,0,0
0.437229,0,0,0,0,0,0
0.438815,0,0,0,0,0,0
0.440375,0,0,0,0,0,0
0.442058,0,0,0,0,0,0
0.443787,0,0,0,0,0,0
0.445516,0,0,0,0,0,0
0.447246,0,0,0,0,0,0
0.448979,0,0,0,0,0,0
0.450728,0,0,0,0,0,0
0.452455,0,0,0,0,0,0
0.454184,0,0,0,0,0,0
0.455912,0,0,0,0,0,0
0.457743,0,0,0,0,0,0
0.459281,0,0,0,0,0,0
0.460915,0,0,0,0,0,0
0.462743,0,0,0,0,0,0
0.464403,0,0,0,0,0,0
0.465998,0,0,0,0,0,0
0.467507,0,0,0,0,0,0
0.469320,0,0,0,0,0,0
0.472960,0,0,0,0,0,0
0.474471,0,0,0,0,0,0
0.475923,0,0,0,0,0,0
0.477371,0,0,0,0,0,0
0.478815,0,0,0,0,0,0
