elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.664221,0,0,0,8348106,0,0
0.665485,0,0,0,8339862,0,0
0.666794,0,0,0,8639748,0,0
0.668069,0,0,0,8418240,0,0
0.669334,0,0,0,8349006,0,0
0.670600,0,0,0,8353320,0,0
0.671864,0,0,0,8341068,0,0
0.673127,0,0,0,8336760,0,0
0.674393,0,0,0,8347506,0,0
0.675668,0,0,0,8507148,0,0
0.677076,0,0,0,9391968,0,0
0.678525,0,0,0,9539898,0,0
0.679829,0,0,0,8471754,0,0
0.681100,0,0,0,8372238,0,0
0.682413,0,0,0,8665884,0,0
0.683680,0,0,0,8357196,0,0
0.684945,0,0,0,8352330,0,0
0.686213,0,0,0,8362554,0,0
0.687478,0,0,0,8345730,0,0
0.688756,0,0,0,8447316,0,0
0.690024,0,0,0,8360784,0,0
0.691289,0,0,0,8347860,0,0
0.692553,0,0,0,8346714,0,0
0.693820,0,0,0,8358576,0,0
0.695085,0,0,0,8350596,0,0
0.696349,0,0,0,8342490,0,0
0.697613,0,0,0,8829894,0,0
0.698968,0,0,0,8459724,0,0
0.700234,0,0,0,8348472,0,0
0.701499,0,0,0,8347482,0,0
0.702764,0,0,0,8354544,0,0
0.704029,0,0,0,8347176,0,0
0.705293,0,0,0,8349258,0,0
0.706560,0,0,0,8351622,0,0
0.707824,0,0,0,8351058,0,0
0.709097,0,0,0,8397102,0,0
0.710363,0,0,0,8355786,0,0
0.711627,0,0,0,8335704,0,0
0.712897,0,0,0,8412264,0,0
0.714204,0,0,0,8609310,0,0
0.715471,0,0,0,8351382,0,0
0.716735,0,0,0,8350920,0,0
0.718002,0,0,0,8360616,0,0
0.719277,0,0,0,8418252,0,0
0.720543,0,0,0,8348808,0,0
0.721809,0,0,0,8356068,0,0
0.723074,0,0,0,8349336,0,0
0.724339,0,0,0,8351628,0,0
0.725604,0,0,0,8662206,0,0
0.726918,0,0,0,8362446,0,0
0.728184,0,0,0,8350176,0,0
0.729457,0,0,0,8404164,0,0
0.730758,0,0,0,8586078,0,0
0.732024,0,0,0,8355768,0,0
0.733289,0,0,0,8350236,0,0
0.734556,0,0,0,8361636,0,0
0.735822,0,0,0,8347428,0,0
0.737086,0,0,0,8341446,0,0
0.738352,0,0,0,8357346,0,0
0.739624,0,0,0,8401182,0,0
0.740889,0,0,0,8341248,0,0
0.742154,0,0,0,8351100,0,0
0.743418,0,0,0,8348640,0,0
0.744682,0,0,0,8340294,0,0
0.745948,0,0,0,8351640,0,0
0.747212,0,0,0,8350410,0,0
0.748477,0,0,0,8344632,0,0
0.749749,0,0,0,9242004,0,0
0.751271,0,0,0,9351036,0,0
0.752698,0,0,0,9423330,0,0
0.754129,0,0,0,9449592,0,0
0.755434,0,0,0,8466228,0,0
0.756705,0,0,0,8376618,0,0
0.757974,0,0,0,8375400,0,0
0.759240,0,0,0,8354526,0,0
0.760520,0,0,0,8447580,0,0
0.761788,0,0,0,8368704,0,0
0.763097,0,0,0,8636688,0,0
0.764362,0,0,0,8346786,0,0
0.765663,0,0,0,8606394,0,0
0.766931,0,0,0,8347854,0,0
0.768195,0,0,0,8346288,0,0
0.769459,0,0,0,8344038,0,0
0.770736,0,0,0,8414412,0,0
0.771999,0,0,0,8350380,0,0
0.773264,0,0,0,8342142,0,0
0.774529,0,0,0,8355336,0,0
0.775794,0,0,0,8344602,0,0
0.777058,0,0,0,8343378,0,0
0.778360,0,0,0,8595930,0,0
0.779625,0,0,0,8346978,0,0
0.780899,0,0,0,8410926,0,0
0.782166,0,0,0,8359824,0,0
0.783431,0,0,0,8346990,0,0
0.784695,0,0,0,8344410,0,0
0.785961,0,0,0,8358516,0,0
0.787226,0,0,0,8346444,0,0
0.788490,0,0,0,8341938,0,0
0.789834,0,0,0,8638620,0,0
0.791203,0,0,0,9425436,0,0
0.792632,0,0,0,9421512,0,0
0.793937,0,0,0,8481264,0,0
0.795211,0,0,0,8398836,0,0
0.796478,0,0,0,8356548,0,0
0.797743,0,0,0,8351112,0,0
0.799010,0,0,0,8359194,0,0
0.800275,0,0,0,8352108,0,0
0.801554,0,0,0,8440410,0,0
0.802820,0,0,0,8356116,0,0
0.804086,0,0,0,8353404,0,0
0.805350,0,0,0,8342316,0,0
0.806616,0,0,0,8354640,0,0
0.807881,0,0,0,8348628,0,0
0.809146,0,0,0,8347962,0,0
0.810448,0,0,0,8595936,0,0
0.811728,0,0,0,8471484,0,0
0.812998,0,0,0,8355924,0,0
0.814265,0,0,0,8359758,0,0
0.815530,0,0,0,8353008,0,0
0.816795,0,0,0,8347890,0,0
0.818060,0,0,0,8349450,0,0
0.819325,0,0,0,8349084,0,0
0.820589,0,0,0,8337696,0,0
0.821863,0,0,0,8412570,0,0
0.823128,0,0,0,8348004,0,0
0.824392,0,0,0,8340552,0,0
0.825655,0,0,0,8351484,0,0
