elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.169917,0,0,0,0
0.171469,0,0,0,0
0.173038,0,0,0,0
0.174629,0,0,0,0
0.176179,0,0,0,0
0.177730,0,0,0,0
0.179279,0,0,0,0
0.180834,0,0,0,0
0.182426,0,0,0,0
0.183865,0,0,0,0
0.185253,0,0,0,0
0.186633,0,0,0,0
0.188012,0,0,0,0
0.189391,0,0,0,0
0.190820,0,0,0,0
0.192175,0,0,0,0
0.193529,0,0,0,0
0.194889,0,0,0,0
0.196248,0,0,0,0
0.197610,0,0,0,0
0.198964,0,0,0,0
0.200303,0,0,0,0
0.201643,0,0,0,0
0.202982,0,0,0,0
0.204321,0,0,0,0
0.205666,0,0,0,0
0.207035,0,0,0,0
0.208484,0,0,0,0
0.209848,0,0,0,0
0.211209,0,0,0,0
0.212570,0,0,0,0
0.213929,0,0,0,0
0.215367,0,0,0,0
0.216733,0,0,0,0
0.218100,0,0,0,0
0.219462,0,0,0,0
0.220823,0,0,0,0
0.222239,0,0,0,0
0.224514,0,0,0,0
0.225925,0,0,0,0
0.227483,0,0,0,0
0.228947,0,0,0,0
0.230365,0,0,0,0
0.231748,0,0,0,0
0.233149,0,0,0,0
0.234530,0,0,0,0
0.235985,0,0,0,0
0.237398,0,0,0,0
0.238809,0,0,0,0
0.240240,0,0,0,0
0.241621,0,0,0,0
0.243003,0,0,0,0
0.244383,0,0,0,0
0.245766,0,0,0,0
0.247189,0,0,0,0
0.248663,0,0,0,0
0.250059,0,0,0,0
0.251458,0,0,0,0
0.252843,0,0,0,0
0.254228,0,0,0,0
0.255666,0,0,0,0
0.257060,0,0,0,0
0.258570,0,0,0,0
0.259964,0,0,0,0
0.261349,0,0,0,0
0.262777,0,0,0,0
0.264838,0,0,0,0
0.266219,0,0,0,0
0.267812,0,0,0,0
0.269198,0,0,0,0
0.270627,0,0,0,0
0.272003,0,0,0,0
0.273380,0,0,0,0
0.274757,0,0,0,0
0.276136,0,0,0,0
0.277514,0,0,0,0
0.278928,0,0,0,0
0.280307,0,0,0,0
0.281695,0,0,0,0
0.283074,0,0,0,0
0.284558,0,0,0,0
0.286050,0,0,0,0
0.287645,0,0,0,0
0.289193,0,0,0,0
0.290741,0,0,0,0
0.292302,0,0,0,0
0.293852,0,0,0,0
0.295403,0,0,0,0
0.296953,0,0,0,0
0.298501,0,0,0,0
0.300052,0,0,0,0
0.301602,0,0,0,0
0.303162,0,0,0,0
0.304713,0,0,0,0
0.306260,0,0,0,0
0.307810,0,0,0,0
0.309359,0,0,0,0
0.310949,0,0,0,0
0.312498,0,0,0,0
0.314057,0,0,0,0
0.315710,0,0,0,0
0.317317,0,0,0,0
0.318908,0,0,0,0
0.320459,0,0,0,0
0.322010,0,0,0,0
0.323564,0,0,0,0
0.325127,0,0,0,0
0.326719,0,0,0,0
0.328269,0,0,0,0
0.329820,0,0,0,0
0.331371,0,0,0,0
0.332923,0,0,0,0
0.334513,0,0,0,0
0.336078,0,0,0,0
0.337628,0,0,0,0
0.339176,0,0,0,0
0.340750,0,0,0,0
0.342341,0,0,0,0
0.343893,0,0,0,0
0.345443,0,0,0,0
0.347004,0,0,0,0
0.348612,0,0,0,0
0.350162,0,0,0,0
0.351758,0,0,0,0
0.353308,0,0,0,0
0.354858,0,0,0,0
0.356408,0,0,0,0
0.358016,0,0,0,0
0.359612,0,0,0,0
0.361162,0,0,0,0
0.362617,0,0,0,0
0.364015,0,0,0,0
0.365399,0,0,0,0
0.366821,0,0,0,0
0.368214,0,0,0,0
0.369596,0,0,0,0
0.370973,0,0,0,0
0.372352,0,0,0,0
0.373730,0,0,0,0
0.375154,0,0,0,0
0.376594,0,0,0,0
0.377950,0,0,0,0
0.379311,0,0,0,0
0.380688,0,0,0,0
0.382041,0,0,0,0
0.383422,0,0,0,0
0.384761,0,0,0,0
0.386099,0,0,0,0
0.387536,0,0,0,0
0.388875,0,0,0,0
0.390219,0,0,0,0
0.391568,0,0,0,0
0.392869,0,0,0,0
0.394279,0,0,0,0
0.395688,0,0,0,0
0.397099,0,0,0,0
0.398551,0,0,0,0
0.399983,0,0,0,0
0.401375,0,0,0,0
0.402758,0,0,0,0
0.404806,0,0,0,0
0.406348,0,0,0,0
0.407810,0,0,0,0
0.409203,0,0,0,0
0.410593,0,0,0,0
0.412000,0,0,0,0
0.413383,0,0,0,0
0.414818,0,0,0,0
0.416208,0,0,0,0
0.417610,0,0,0,0
0.418993,0,0,0,0
0.420371,0,0,0,0
0.421753,0,0,0,0
0.423149,0,0,0,0
0.424520,0,0,0,0
0.425902,0,0,0,0
0.427285,0,0,0,0
0.428847,0,0,0,0
0.430235,0,0,0,0
0.431660,0,0,0,0
0.433048,0,0,0,0
0.434450,0,0,0,0
0.438182,0,0,0,0
0.439602,0,0,0,0
0.441021,0,0,0,0
0.442412,0,0,0,0
0.443805,0,0,0,0
0.445170,0,0,0,0
0.446561,0,0,0,0
0.447944,0,0,0,0
0.449292,0,0,0,0
0.450683,0,0,0,0
0.452068,0,0,0,0
0.453447,0,0,0,0
0.454861,0,0,0,0
0.456282,0,0,0,0
0.457668,0,0,0,0
0.459053,0,0,0,0
