elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
1.062256,0,0,0,0
1.063918,0,0,0,0
1.065490,0,0,0,0
1.067047,0,0,0,0
1.068607,0,0,0,0
1.070175,0,0,0,0
1.071733,0,0,0,0
1.073291,0,0,0,0
1.074850,0,0,0,0
1.076400,0,0,0,0
1.077946,0,0,0,0
1.079370,0,0,0,0
1.080909,0,0,0,0
1.082464,0,0,0,0
1.084027,0,0,0,0
1.085582,0,0,0,0
1.087184,0,0,0,0
1.088742,0,0,0,0
1.090297,0,0,0,0
1.091945,0,0,0,0
1.093502,0,0,0,0
1.095104,0,0,0,0
1.096661,0,0,0,0
1.098216,0,0,0,0
1.099774,0,0,0,0
1.101330,0,0,0,0
1.102944,0,0,0,0
1.104502,0,0,0,0
1.106058,0,0,0,0
1.107616,0,0,0,0
1.109174,0,0,0,0
1.110776,0,0,0,0
1.112334,0,0,0,0
1.113903,0,0,0,0
1.115461,0,0,0,0
1.117018,0,0,0,0
1.118573,0,0,0,0
1.120042,0,0,0,0
1.121566,0,0,0,0
1.123125,0,0,0,0
1.124694,0,0,0,0
1.126250,0,0,0,0
1.127675,0,0,0,0
1.129201,0,0,0,0
1.130759,0,0,0,0
1.132191,0,0,0,0
1.133721,0,0,0,0
1.135162,0,0,0,0
1.136689,0,0,0,0
1.138242,0,0,0,0
1.139797,0,0,0,0
1.141352,0,0,0,0
1.142951,0,0,0,0
1.144507,0,0,0,0
1.146079,0,0,0,0
1.147635,0,0,0,0
1.149189,0,0,0,0
1.151476,0,0,0,0
1.153296,0,0,0,0
1.154691,0,0,0,0
1.156092,0,0,0,0
1.157481,0,0,0,0
1.158909,0,0,0,0
1.160297,0,0,0,0
1.161685,0,0,0,0
1.163074,0,0,0,0
1.164462,0,0,0,0
1.165849,0,0,0,0
1.167291,0,0,0,0
1.168678,0,0,0,0
1.170065,0,0,0,0
1.171453,0,0,0,0
1.172839,0,0,0,0
1.174227,0,0,0,0
1.175614,0,0,0,0
1.177133,0,0,0,0
1.178709,0,0,0,0
1.180254,0,0,0,0
1.181797,0,0,0,0
1.183216,0,0,0,0
1.184613,0,0,0,0
1.186137,0,0,0,0
1.187690,0,0,0,0
1.189262,0,0,0,0
1.190863,0,0,0,0
1.192419,0,0,0,0
1.193970,0,0,0,0
1.195524,0,0,0,0
1.197078,0,0,0,0
1.198677,0,0,0,0
1.200244,0,0,0,0
1.201797,0,0,0,0
1.203352,0,0,0,0
1.204907,0,0,0,0
1.206458,0,0,0,0
1.208062,0,0,0,0
1.209614,0,0,0,0
1.211058,0,0,0,0
1.212586,0,0,0,0
1.214141,0,0,0,0
1.215699,0,0,0,0
1.217256,0,0,0,0
1.218814,0,0,0,0
1.220371,0,0,0,0
1.221940,0,0,0,0
1.223497,0,0,0,0
1.225055,0,0,0,0
1.226700,0,0,0,0
1.228133,0,0,0,0
1.229526,0,0,0,0
1.231094,0,0,0,0
1.232665,0,0,0,0
1.234221,0,0,0,0
1.235778,0,0,0,0
1.237335,0,0,0,0
1.238938,0,0,0,0
1.240495,0,0,0,0
1.242048,0,0,0,0
1.243627,0,0,0,0
1.245137,0,0,0,0
1.246540,0,0,0,0
1.248111,0,0,0,0
1.249666,0,0,0,0
1.251223,0,0,0,0
1.252780,0,0,0,0
1.254346,0,0,0,0
1.255953,0,0,0,0
1.257508,0,0,0,0
1.259065,0,0,0,0
1.260622,0,0,0,0
1.262176,0,0,0,0
1.263734,0,0,0,0
1.265174,0,0,0,0
1.266705,0,0,0,0
1.268262,0,0,0,0
1.269816,0,0,0,0
1.271417,0,0,0,0
1.272973,0,0,0,0
1.274528,0,0,0,0
1.276113,0,0,0,0
1.277695,0,0,0,0
1.279300,0,0,0,0
1.280858,0,0,0,0
1.282414,0,0,0,0
1.283972,0,0,0,0
1.285518,0,0,0,0
1.286955,0,0,0,0
1.288482,0,0,0,0
1.290037,0,0,0,0
1.291593,0,0,0,0
1.293149,0,0,0,0
1.294750,0,0,0,0
1.296306,0,0,0,0
1.297993,0,0,0,0
1.299388,0,0,0,0
1.300904,0,0,0,0
1.302451,0,0,0,0
1.303866,0,0,0,0
1.305255,0,0,0,0
1.306890,0,0,0,0
1.308460,0,0,0,0
1.310017,0,0,0,0
1.311577,0,0,0,0
1.313230,0,0,0,0
1.314703,0,0,0,0
1.316107,0,0,0,0
1.317499,0,0,0,0
1.318946,0,0,0,0
1.320338,0,0,0,0
1.321730,0,0,0,0
1.323312,0,0,0,0
1.324871,0,0,0,0
1.326427,0,0,0,0
1.327881,0,0,0,0
1.329286,0,0,0,0
1.330812,0,0,0,0
1.332370,0,0,0,0
1.333934,0,0,0,0
1.335490,0,0,0,0
1.337049,0,0,0,0
1.338671,0,0,0,0
1.340305,0,0,0,0
1.341862,0,0,0,0
1.343467,0,0,0,0
1.345027,0,0,0,0
1.346583,0,0,0,0
1.348182,0,0,0,0
1.349738,0,0,0,0
1.351353,0,0,0,0
1.352913,0,0,0,0
1.354469,0,0,0,0
1.356032,0,0,0,0
1.357589,0,0,0,0
1.359084,0,0,0,0
1.360635,0,0,0,0
1.362193,0,0,0,0
1.363745,0,0,0,0
1.365302,0,0,0,0
1.366906,0,0,0,0
1.368465,0,0,0,0
1.370021,0,0,0,0
1.371580,0,0,0,0
1.373150,0,0,0,0
1.374755,0,0,0,0
1.376315,0,0,0,0
1.377871,0,0,0,0
1.379430,0,0,0,0
1.380987,0,0,0,0
1.382545,0,0,0,0
1.384168,0,0,0,0
1.385725,0,0,0,0
1.387285,0,0,0,0
1.388834,0,0,0,0
1.390381,0,0,0,0
1.391927,0,0,0,0
1.393453,0,0,0,0
1.395023,0,0,0,0
1.396581,0,0,0,0
1.398137,0,0,0,0
1.399695,0,0,0,0
1.401253,0,0,0,0
1.402813,0,0,0,0
1.404371,0,0,0,0
1.405812,0,0,0,0
1.407385,0,0,0,0
1.408942,0,0,0,0
1.410498,0,0,0,0
1.412060,0,0,0,0
1.413617,0,0,0,0
1.415220,0,0,0,0
1.416797,0,0,0,0
1.418352,0,0,0,0
1.419914,0,0,0,0
1.421469,0,0,0,0
1.423071,0,0,0,0
1.424629,0,0,0,0
1.426185,0,0,0,0
1.427625,0,0,0,0
1.429152,0,0,0,0
1.430753,0,0,0,0
1.432538,0,0,0,0
1.433974,0,0,0,0
1.435376,0,0,0,0
1.436768,0,0,0,0
1.438171,0,0,0,0
1.439605,0,0,0,0
1.440994,0,0,0,0
1.442513,0,0,0,0
1.444072,0,0,0,0
1.445501,0,0,0,0
1.446953,0,0,0,0
1.448491,0,0,0,0
1.450049,0,0,0,0
1.451607,0,0,0,0
1.453166,0,0,0,0
1.454770,0,0,0,0
