elapsed_s,PC_US_STALL_CYCLES_COMPUTE_GFX,PC_US_STALL_CYCLES_GFX_COMPUTE,PC_US_PREDRAW_STALLS,PC_US_DP0_INPUT_STALLS,PC_US_DP1_INPUT_STALLS,PC_US_BR_STALLS_BV_WORKLOAD,PC_US_BV_STALLS_BR_WORKLOAD,PC_US_PASSPAIR_STALL
0.664301,0,0,0,0,0,0,0,0
0.665873,0,0,0,0,0,0,0,0
0.667593,0,0,0,0,0,0,0,0
0.669165,0,0,0,0,0,0,0,0
0.670738,0,0,0,0,0,0,0,0
0.672326,0,0,0,0,0,0,0,0
0.673954,0,0,0,0,0,0,0,0
0.675527,0,0,0,0,0,0,0,0
0.677099,0,0,0,0,0,0,0,0
0.678717,0,0,0,0,0,0,0,0
0.680291,0,0,0,0,0,0,0,0
0.681863,0,0,0,0,0,0,0,0
0.683371,0,0,0,0,0,0,0,0
0.684914,0,0,0,0,0,0,0,0
0.686490,0,0,0,0,0,0,0,0
